tipo_celular,module_size,BRAP_MM,BRAP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.09,9.0,131,2,1.53,NA,129,98.47,3.07 (2.80-3.35),1.85,4.80
astrocytes 5,1656.0,0.091,15.0,136,2,1.47,1.96 (NA-NA),134,98.53,3.22 (2.95-3.49),3.27,5.01
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,48,13.6,2.28 (1.85-2.70),305,86.4,4.18 (3.99-4.36),25.22,5.36
GABA neurons expressing GLU receptors 22,567.0,0.214,60.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,300.0,0.185,47.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27),2.09,2.69
da like neurons 11,265.0,0.141,29.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93),1.55,1.82
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.053,20.0,18,11,61.11,1.09 (0.59-1.60),7,38.89,3.11 (2.07-4.15),4.45,2.76
GABA like neurons 14,3052.0,0.142,53.0,125,7,5.6,3.54 (2.91-4.17),118,94.4,3.34 (3.01-3.68),4.81,8.84
astrocytes 8,260.0,0.085,24.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA),2.39,1.78
oligodendrocyte progenitor cells 12,708.0,0.067,27.0,32,10,31.25,1.62 (0.78-2.47),22,68.75,4.15 (3.20-5.09),3.32,2.27
oligodendrocytes 10,2107.0,0.021,1.0,358,48,13.41,2.19 (1.75-2.63),310,86.59,4.17 (3.98-4.35),27.54,6.67
connective tissue cells 21,93.0,0.506,100.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1768.0,0.091,53.0,105,23,21.9,2.05 (1.63-2.47),82,78.1,3.57 (3.19-3.96),6.99,3.13
oligodendrocytes 16,64.0,0.083,2.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,78.0,0.268,20.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54),NA,4.03
astrocytes 4,1807.0,0.126,20.0,104,25,24.04,2.12 (1.69-2.56),79,75.96,3.12 (2.79-3.45),11.80,3.37
oligodendrocytes 0,2078.0,0.088,8.0,238,17,7.14,3.40 (2.68-4.12),221,92.86,3.65 (3.42-3.88),6.43,4.91
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.042,2.0,111,4,3.6,3.56 (NA-NA),107,96.4,3.30 (2.95-3.65),3.66,4.25
oligodendrocytes 2,1630.0,0.135,34.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52),2.69,3.60
