tipo_celular,module_size,STXBP4_MM,STXBP4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.115,21.0,98,15,15.31,1.82 (1.11-2.52),83,84.69,3.39 (3.07-3.71),6.82,3.53
astrocytes 5,1141.0,0.142,66.0,166,7,4.22,1.89 (0.87-2.90),159,95.78,3.47 (3.22-3.72),4.92,4.53
oligodendrocyte progenitor cells 7,4285.0,0.157,82.0,353,22,6.23,2.17 (1.58-2.77),331,93.77,4.04 (3.85-4.23),25.12,6.93
GABA neurons expressing GLU receptors 22,1069.0,0.145,36.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,685.0,0.142,57.0,135,21,15.56,2.98 (2.19-3.77),114,84.44,3.23 (2.89-3.56),3.94,3.71
da like neurons 11,853.0,0.128,48.0,133,7,5.26,1.16 (0.19-2.12),126,94.74,3.39 (3.08-3.70),5.87,4.07
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,586.0,0.294,66.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49),NA,4.21
oligodendrocytes 20,275.0,0.473,97.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.056,2.0,125,1,0.8,3.04 (NA-NA),124,99.2,3.36 (3.03-3.68),4.61,8.65
astrocytes 8,1266.0,0.075,43.0,66,9,13.64,1.06 (0.37-1.75),57,86.36,3.63 (3.25-4.02),3.39,2.88
oligodendrocyte progenitor cells 12,3303.0,0.118,88.0,276,14,5.07,2.37 (1.78-2.96),262,94.93,3.63 (3.40-3.85),7.93,4.96
oligodendrocytes 10,2107.0,0.212,72.0,358,29,8.1,2.17 (1.66-2.67),329,91.9,4.07 (3.88-4.26),16.46,8.86
connective tissue cells 21,101.0,0.211,19.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.40
astrocytes 15,338.0,0.143,45.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,84.0,0.349,98.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,125.0,0.221,4.0,6,0,0.0,NA,6,100.0,2.99 (2.22-3.77),NA,2.03
astrocytes 4,721.0,0.142,32.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38),NA,6.02
oligodendrocytes 0,479.0,0.1,8.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.094,48.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804.0,0.111,8.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09),3.00,3.41
