tipo_celular,module_size,TMEM63B_MM,TMEM63B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.085,10.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.096,7.0,353,5,1.42,0.84 (0.25-1.42),348,98.58,3.95 (3.76-4.13),46.21,7.52
GABA neurons expressing GLU receptors 22,487.0,0.206,48.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19),2.83,7.45
GLU like neurons 17,1247.0,0.095,22.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,97.0,0.185,49.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,357.0,0.12,27.0,237,1,0.42,3.37 (NA-NA),236,99.58,4.41 (4.18-4.65),1.67,4.19
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.202,80.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,262.0,0.046,8.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,1049.0,0.036,6.0,235,1,0.43,1.29 (NA-NA),234,99.57,3.84 (3.61-4.07),1.98,7.64
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.042,10.0,96,4,4.17,3.61 (1.06-6.16),92,95.83,3.61 (3.15-4.07),8.12,3.61
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.128,68.0,122,3,2.46,1.36 (0.22-2.49),119,97.54,4.08 (3.68-4.47),4.85,3.45
astrocytes microglia 23,111.0,0.249,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.146,54.0,104,0,0.0,NA,104,100.0,2.86 (2.58-3.14),NA,5.40
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
