tipo_celular,module_size,OAT_MM,OAT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.148,34.0,266,9,3.38,1.14 (0.58-1.70),257,96.62,4.25 (4.05-4.45),5.37,4.97
oligodendrocyte progenitor cells 7,296.0,0.173,45.0,251,1,0.4,3.42 (NA-NA),250,99.6,4.07 (3.83-4.31),2.98,6.17
GABA neurons expressing GLU receptors 22,848.0,0.113,9.0,262,6,2.29,1.13 (0.44-1.82),256,97.71,4.26 (4.02-4.50),3.09,4.13
GLU like neurons 17,300.0,0.187,51.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00),2.13,2.62
da like neurons 11,1220.0,0.249,71.0,410,5,1.22,2.08 (0.97-3.19),405,98.78,4.28 (4.10-4.47),9.88,7.49
GABA neurons expressing GABA receptors 13,86.0,0.236,91.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72),NA,4.82
endothelial cells 9,338.0,0.232,77.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,275.0,0.153,32.0,17,1,5.88,NA,16,94.12,1.72 (1.15-2.29),1.67,4.46
GABA like neurons 14,2402.0,0.326,71.0,455,19,4.18,1.56 (1.05-2.06),436,95.82,4.51 (4.33-4.69),25.63,8.10
astrocytes 8,520.0,0.217,73.0,288,3,1.04,1.90 (0.32-3.48),285,98.96,4.20 (4.00-4.40),4.81,4.68
oligodendrocyte progenitor cells 12,3303.0,0.06,27.0,276,16,5.8,1.94 (1.47-2.42),260,94.2,3.66 (3.44-3.89),18.71,4.27
oligodendrocytes 10,806.0,0.237,69.0,261,2,0.77,1.56 (1.04-2.07),259,99.23,4.39 (4.15-4.63),3.19,6.09
connective tissue cells 21,139.0,0.296,45.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,443.0,0.183,73.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,75.0,0.223,73.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.312,89.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,107.0,0.394,89.0,1,1,100.0,3.12 (NA-NA),0,0.0,NA,2.49,NA
astrocytes 4,514.0,0.189,54.0,95,4,4.21,3.91 (2.20-5.62),91,95.79,3.34 (2.90-3.77),1.80,4.77
oligodendrocytes 0,613.0,0.117,21.0,127,2,1.57,3.30 (2.61-3.99),125,98.43,3.04 (2.62-3.47),7.41,6.26
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.129,58.0,345,4,1.16,2.16 (1.57-2.75),341,98.84,4.31 (4.10-4.52),1.81,5.74
oligodendrocytes 2,528.0,0.223,62.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
