tipo_celular,module_size,DCC_MM,DCC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,436.0,0.255,95.0,219,41,18.72,5.38 (4.66-6.10),178,81.28,5.17 (4.86-5.48),7.05,4.05
GABA neurons expressing GLU receptors 22,1069.0,0.121,19.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60),1.90,3.13
GLU like neurons 17,489.0,0.631,100.0,42,19,45.24,6.28 (5.50-7.07),23,54.76,5.61 (4.85-6.37),3.57,2.91
da like neurons 11,191.0,0.519,95.0,93,35,37.63,5.38 (4.60-6.17),58,62.37,5.82 (5.38-6.25),4.62,3.84
GABA neurons expressing GABA receptors 13,288.0,0.135,29.0,93,48,51.61,4.93 (4.24-5.62),45,48.39,5.44 (4.75-6.13),5.12,2.70
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.079,32.0,110,42,38.18,5.05 (4.29-5.80),68,61.82,4.95 (4.41-5.50),4.65,2.83
GABA like neurons 14,1300.0,0.135,18.0,306,71,23.2,4.59 (3.96-5.21),235,76.8,5.27 (4.99-5.54),12.09,5.08
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,411.0,0.373,85.0,103,21,20.39,5.96 (4.91-7.02),82,79.61,5.44 (5.04-5.85),3.74,2.92
oligodendrocytes 10,1277.0,0.124,61.0,27,5,18.52,7.31 (5.40-9.21),22,81.48,5.17 (4.28-6.06),1.81,7.41
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,121.0,0.169,17.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53),NA,2.09
da neurons 6,518.0,0.09,27.0,122,21,17.21,4.80 (3.32-6.29),101,82.79,3.82 (3.46-4.18),3.26,3.53
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,1186.0,0.251,100.0,300,2,0.67,2.98 (2.12-3.83),298,99.33,3.80 (3.59-4.01),10.90,4.11
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.162,88.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64),1.56,4.26
oligodendrocytes 2,348.0,0.099,4.0,114,55,48.25,5.29 (4.70-5.88),59,51.75,4.93 (4.36-5.50),6.02,2.87
