tipo_celular,module_size,PRR5L_MM,PRR5L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.347,91.0,59,4,6.78,3.62 (3.02-4.23),55,93.22,3.06 (2.53-3.60),2.27,5.57
astrocytes 5,165.0,0.116,15.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01),NA,2.95
oligodendrocyte progenitor cells 7,229.0,0.212,58.0,45,5,11.11,4.95 (4.77-5.12),40,88.89,5.01 (4.29-5.73),3.03,5.65
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,450.0,0.238,59.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02),NA,3.64
oligodendrocytes 20,676.0,0.62,91.0,110,11,10.0,3.31 (2.15-4.46),99,90.0,5.27 (4.81-5.72),3.16,3.57
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,771.0,0.325,83.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,708.0,0.307,88.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99),1.83,2.57
oligodendrocytes 10,236.0,0.698,98.0,82,7,8.54,4.98 (4.82-5.13),75,91.46,5.00 (4.42-5.57),2.48,3.96
connective tissue cells 21,91.0,0.223,15.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,458.0,0.158,76.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,287.0,0.412,80.0,105,12,11.43,3.31 (2.15-4.46),93,88.57,5.40 (4.96-5.85),3.22,3.50
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,111.0,0.326,58.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.103,2.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,261.0,0.298,97.0,42,5,11.9,1.31 (0.80-1.82),37,88.1,4.57 (3.92-5.22),2.22,2.28
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,116.0,0.259,39.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96),1.62,1.41
oligodendrocytes 2,237.0,0.276,73.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
