tipo_celular,module_size,FOXO1_MM,FOXO1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.144,30.0,102,62,60.78,3.14 (2.79-3.49),40,39.22,4.06 (3.34-4.78),3.62,2.12
T cells 18,388.0,0.243,85.0,84,11,13.1,2.65 (2.31-3.00),73,86.9,3.02 (2.65-3.39),2.25,4.64
astrocytes 5,118.0,0.21,43.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,666.0,0.218,79.0,127,26,20.47,3.02 (2.40-3.65),101,79.53,4.13 (3.75-4.50),3.75,6.37
GABA neurons expressing GLU receptors 22,823.0,0.221,77.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,685.0,0.344,95.0,135,61,45.19,3.00 (2.62-3.38),74,54.81,3.39 (2.90-3.87),3.48,3.97
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,412.0,0.34,94.0,141,18,12.77,3.27 (2.35-4.19),123,87.23,2.92 (2.68-3.16),3.11,7.36
oligodendrocytes 20,275.0,0.153,32.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.102,19.0,125,2,1.6,3.02 (2.98-3.06),123,98.4,3.36 (3.03-3.69),4.99,8.67
astrocytes 8,218.0,0.238,88.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03),NA,4.91
oligodendrocyte progenitor cells 12,708.0,0.136,61.0,25,3,12.0,4.05 (0.28-7.83),22,88.0,2.67 (1.69-3.65),2.56,2.53
oligodendrocytes 10,1277.0,0.197,90.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,250.0,0.308,50.0,117,8,6.84,3.52 (2.58-4.46),109,93.16,5.51 (5.11-5.92),1.97,3.87
astrocytes 15,268.0,0.292,90.0,10,5,50.0,4.15 (0.74-7.57),5,50.0,3.41 (1.33-5.50),1.43,1.75
oligodendrocytes 16,113.0,0.146,9.0,10,2,20.0,2.92 (2.69-3.15),8,80.0,2.94 (1.92-3.97),2.35,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,59.0,0.272,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.238,84.0,12,1,8.33,5.51 (NA-NA),11,91.67,4.44 (3.48-5.41),1.36,2.42
oligodendrocytes 0,1186.0,0.193,98.0,300,31,10.33,4.06 (3.49-4.63),269,89.67,3.76 (3.54-3.98),4.34,4.13
microglia 1,1615.0,0.165,95.0,161,73,45.34,2.53 (2.18-2.87),88,54.66,4.11 (3.81-4.42),7.73,3.52
oligodendrocytes 3,681.0,0.134,79.0,87,65,74.71,2.56 (2.28-2.83),22,25.29,2.68 (1.88-3.49),4.61,3.15
oligodendrocytes 2,804.0,0.151,50.0,84,8,9.52,2.20 (1.10-3.30),76,90.48,2.74 (2.39-3.10),3.10,3.43
