tipo_celular,module_size,USP46_MM,USP46_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.13,74.0,136,1,0.74,1.96 (NA-NA),135,99.26,3.22 (2.95-3.49),5.11,4.99
oligodendrocyte progenitor cells 7,4285.0,0.12,28.0,353,23,6.52,1.66 (1.10-2.23),330,93.48,4.08 (3.90-4.25),31.23,6.45
GABA neurons expressing GLU receptors 22,848.0,0.288,73.0,262,12,4.58,3.74 (2.59-4.88),250,95.42,4.19 (3.93-4.44),5.16,4.05
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,559.0,0.102,25.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70),NA,4.33
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.202,42.0,455,14,3.08,1.24 (0.60-1.89),441,96.92,4.48 (4.30-4.66),29.13,8.19
astrocytes 8,727.0,0.128,63.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,18,6.52,2.27 (1.50-3.04),258,93.48,3.65 (3.43-3.87),11.97,4.63
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,106.0,0.38,91.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1768.0,0.063,26.0,105,11,10.48,1.58 (0.98-2.18),94,89.52,3.42 (3.08-3.77),6.65,3.67
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.148,64.0,124,4,3.23,2.82 (1.13-4.50),120,96.77,4.25 (3.85-4.65),3.70,3.01
astrocytes microglia 23,92.0,0.384,85.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91),NA,1.89
astrocytes 4,1807.0,0.155,69.0,104,14,13.46,1.75 (1.15-2.34),90,86.54,3.05 (2.76-3.35),11.06,4.52
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
