tipo_celular,module_size,MRPS21_MM,MRPS21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,328.0,0.129,30.0,128,6,4.69,3.40 (2.68-4.13),122,95.31,3.58 (3.22-3.94),19.46,6.14
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,487.0,0.299,76.0,73,12,16.44,2.41 (1.75-3.08),61,83.56,2.83 (2.39-3.28),10.09,6.78
GLU like neurons 17,1247.0,0.086,17.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,1220.0,0.2,57.0,410,19,4.63,2.48 (2.03-2.92),391,95.37,4.37 (4.18-4.56),18.69,6.97
GABA neurons expressing GABA receptors 13,417.0,0.157,47.0,213,35,16.43,2.01 (1.62-2.39),178,83.57,4.24 (4.01-4.48),16.43,8.36
endothelial cells 9,916.0,0.238,59.0,302,22,7.28,2.85 (2.39-3.32),280,92.72,4.11 (3.87-4.35),26.38,9.42
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.498,88.0,455,39,8.57,2.02 (1.66-2.38),416,91.43,4.66 (4.48-4.83),25.19,7.30
astrocytes 8,603.0,0.084,56.0,89,17,19.1,2.20 (1.65-2.74),72,80.9,2.96 (2.54-3.38),8.26,5.52
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,106.0,0.302,60.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1768.0,0.045,10.0,105,18,17.14,1.49 (1.15-1.84),87,82.86,3.60 (3.25-3.95),7.69,3.21
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.197,71.0,182,18,9.89,2.88 (2.33-3.43),164,90.11,3.74 (3.47-4.01),21.86,7.06
astrocytes microglia 23,57.0,0.298,40.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.121,13.0,104,18,17.31,1.46 (1.09-1.84),86,82.69,3.18 (2.89-3.48),12.33,3.95
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
