tipo_celular,module_size,BEX1_MM,BEX1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.301,87.0,266,13,4.89,2.54 (1.23-3.84),253,95.11,4.21 (4.01-4.41),4.41,5.01
oligodendrocyte progenitor cells 7,296.0,0.351,93.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30),NA,6.15
GABA neurons expressing GLU receptors 22,848.0,0.545,100.0,262,15,5.73,3.76 (2.57-4.94),247,94.27,4.19 (3.93-4.44),2.76,4.19
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.572,99.0,410,15,3.66,3.72 (2.62-4.82),395,96.34,4.27 (4.08-4.46),5.98,7.57
GABA neurons expressing GABA receptors 13,417.0,0.309,97.0,213,22,10.33,1.81 (0.90-2.71),191,89.67,4.00 (3.77-4.22),6.98,10.00
endothelial cells 9,338.0,0.385,94.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11),NA,9.16
oligodendrocytes 20,221.0,0.149,27.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.817,100.0,455,28,6.15,2.37 (1.54-3.20),427,93.85,4.50 (4.32-4.68),17.86,8.24
astrocytes 8,520.0,0.423,96.0,288,5,1.74,2.34 (0.77-3.90),283,98.26,4.21 (4.02-4.41),3.50,4.71
oligodendrocyte progenitor cells 12,1049.0,0.131,69.0,235,9,3.83,5.90 (4.62-7.17),226,96.17,3.77 (3.53-4.00),3.20,7.79
oligodendrocytes 10,806.0,0.497,96.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,261.0,0.2,78.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64),1.77,1.85
oligodendrocytes 16,313.0,0.323,76.0,291,7,2.41,4.28 (2.70-5.86),284,97.59,4.33 (4.10-4.55),3.07,3.83
da neurons 6,729.0,0.337,99.0,182,6,3.3,1.40 (1.32-1.48),176,96.7,3.68 (3.43-3.93),2.86,8.71
astrocytes microglia 23,70.0,0.417,82.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72),NA,4.53
astrocytes 4,157.0,0.269,72.0,178,8,4.49,1.73 (0.16-3.30),170,95.51,4.28 (4.02-4.53),3.67,4.54
oligodendrocytes 0,116.0,0.184,58.0,169,0,0.0,NA,169,100.0,4.28 (3.98-4.57),NA,6.49
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.344,95.0,345,13,3.77,5.14 (4.44-5.85),332,96.23,4.23 (4.01-4.44),3.19,5.79
oligodendrocytes 2,99.0,0.293,64.0,116,0,0.0,NA,116,100.0,3.96 (3.66-4.26),NA,7.24
