tipo_celular,module_size,AP3M2_MM,AP3M2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,703.0,0.225,73.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,1316.0,0.094,22.0,101,5,4.95,3.57 (3.10-4.04),96,95.05,3.03 (2.67-3.39),2.13,3.10
da like neurons 11,1220.0,0.123,26.0,410,19,4.63,2.96 (2.29-3.62),391,95.37,4.33 (4.14-4.52),8.57,7.46
GABA neurons expressing GABA receptors 13,75.0,0.141,38.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46),NA,3.40
endothelial cells 9,658.0,0.047,1.0,120,3,2.5,3.73 (2.03-5.42),117,97.5,4.63 (4.31-4.95),2.00,3.69
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2402.0,0.346,73.0,455,29,6.37,2.78 (2.13-3.43),426,93.63,4.48 (4.29-4.67),19.07,8.14
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300.0,0.094,15.0,159,9,5.66,4.85 (4.01-5.70),150,94.34,4.33 (4.00-4.65),2.45,3.81
astrocytes microglia 23,39.0,0.376,56.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
