tipo_celular,module_size,CEP112_MM,CEP112_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.199,73.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.167,92.0,353,10,2.83,1.41 (0.41-2.40),343,97.17,3.96 (3.78-4.15),26.47,7.53
GABA neurons expressing GLU receptors 22,703.0,0.147,28.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80),NA,3.93
GLU like neurons 17,795.0,0.282,92.0,80,3,3.75,4.43 (4.17-4.69),77,96.25,5.73 (5.30-6.15),1.71,3.06
da like neurons 11,853.0,0.192,81.0,133,4,3.01,0.98 (0.32-1.65),129,96.99,3.34 (3.03-3.65),5.13,4.13
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.274,71.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92),NA,3.65
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.18,68.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.166,91.0,66,8,12.12,2.13 (0.64-3.62),58,87.88,3.36 (2.93-3.78),3.67,2.85
oligodendrocyte progenitor cells 12,3303.0,0.137,96.0,276,7,2.54,2.04 (0.72-3.36),269,97.46,3.58 (3.36-3.80),5.30,5.11
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,147.0,0.194,30.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,1401.0,0.162,92.0,96,3,3.12,2.48 (0.70-4.26),93,96.88,3.66 (3.20-4.12),8.37,3.65
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,255.0,0.243,38.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01),NA,3.33
astrocytes 4,752.0,0.165,68.0,96,4,4.17,1.57 (1.57-1.57),92,95.83,3.34 (3.00-3.67),3.84,4.34
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
