tipo_celular,module_size,KLHL21_MM,KLHL21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.084,9.0,136,2,1.47,3.31 (0.67-5.94),134,98.53,3.21 (2.93-3.48),3.41,5.01
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.09,39.0,18,7,38.89,0.97 (0.44-1.51),11,61.11,2.45 (1.53-3.37),4.44,3.38
GABA like neurons 14,2402.0,0.145,23.0,455,21,4.62,2.37 (1.63-3.11),434,95.38,4.48 (4.29-4.66),20.87,8.25
astrocytes 8,577.0,0.074,41.0,83,4,4.82,2.38 (1.36-3.40),79,95.18,3.31 (2.84-3.78),2.74,4.56
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,806.0,0.053,8.0,261,8,3.07,4.63 (3.81-5.45),253,96.93,4.35 (4.10-4.60),4.48,6.12
connective tissue cells 21,125.0,0.394,91.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99),NA,2.65
astrocytes 15,1768.0,0.114,74.0,105,20,19.05,2.42 (1.83-3.01),85,80.95,3.42 (3.04-3.80),5.38,3.65
oligodendrocytes 16,81.0,0.083,0.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,518.0,0.064,4.0,122,13,10.66,2.20 (1.46-2.94),109,89.34,4.28 (3.87-4.69),3.83,3.44
astrocytes microglia 23,111.0,0.376,81.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94),NA,2.81
astrocytes 4,787.0,0.124,11.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,613.0,0.174,77.0,127,8,6.3,2.86 (2.11-3.61),119,93.7,3.07 (2.62-3.53),4.11,6.42
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.091,47.0,87,14,16.09,1.90 (1.30-2.51),73,83.91,2.73 (2.43-3.02),4.61,4.17
oligodendrocytes 2,528.0,0.21,56.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
