tipo_celular,module_size,CEP85_MM,CEP85_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.077,11.0,91,18,19.78,2.18 (1.36-3.00),73,80.22,5.40 (4.95-5.85),3.54,2.94
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.314,79.0,16,1,6.25,4.17 (NA-NA),15,93.75,2.26 (1.50-3.01),1.42,3.62
GABA like neurons 14,3052.0,0.119,33.0,125,5,4.0,3.79 (2.91-4.68),120,96.0,3.34 (3.01-3.67),4.53,8.78
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.083,19.0,358,49,13.69,2.07 (1.73-2.40),309,86.31,4.24 (4.05-4.43),22.43,7.42
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,75.0,0.266,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.129,80.0,238,8,3.36,2.76 (1.85-3.68),230,96.64,3.67 (3.44-3.89),5.25,5.01
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.08,18.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94),NA,2.04
oligodendrocytes 2,921.0,0.159,83.0,200,5,2.5,2.48 (2.03-2.93),195,97.5,3.65 (3.38-3.92),3.59,3.46
