tipo_celular,module_size,FHOD3_MM,FHOD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.135,33.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52),1.81,3.86
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,15,4.25,1.54 (0.99-2.09),338,95.75,4.03 (3.84-4.21),23.53,7.38
GABA neurons expressing GLU receptors 22,714.0,0.392,98.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,795.0,0.398,98.0,80,2,2.5,4.33 (4.26-4.40),78,97.5,5.73 (5.31-6.15),2.74,3.02
da like neurons 11,209.0,0.505,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,77.0,0.293,99.0,2,0,0.0,NA,2,100.0,NA,NA,1.47
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.221,57.0,306,19,6.21,3.39 (2.67-4.10),287,93.79,5.25 (4.98-5.52),8.40,6.59
astrocytes 8,140.0,0.256,81.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
oligodendrocyte progenitor cells 12,3303.0,0.101,75.0,276,7,2.54,2.17 (1.36-2.97),269,97.46,3.59 (3.37-3.81),5.58,5.10
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,367.0,0.183,74.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04),NA,3.30
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.071,9.0,122,7,5.74,1.73 (0.50-2.96),115,94.26,4.17 (3.78-4.56),3.05,3.51
astrocytes microglia 23,116.0,0.255,15.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,787.0,0.094,1.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37),1.77,5.81
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
