tipo_celular,module_size,ATP6V1D_MM,ATP6V1D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,228.0,0.153,39.0,266,93,34.96,3.68 (3.35-4.01),173,65.04,4.42 (4.16-4.68),5.99,4.43
oligodendrocyte progenitor cells 7,296.0,0.168,41.0,251,11,4.38,4.38 (3.88-4.88),240,95.62,4.05 (3.80-4.30),3.37,6.28
GABA neurons expressing GLU receptors 22,703.0,0.113,13.0,23,2,8.7,1.18 (NA-NA),21,91.3,2.13 (1.39-2.88),1.45,4.16
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.307,82.0,410,66,16.1,4.00 (3.61-4.39),344,83.9,4.30 (4.09-4.52),9.39,7.16
GABA neurons expressing GABA receptors 13,417.0,0.123,20.0,213,34,15.96,2.20 (1.69-2.71),179,84.04,4.11 (3.87-4.35),7.42,10.12
endothelial cells 9,338.0,0.146,57.0,191,52,27.23,4.46 (4.10-4.82),139,72.77,3.63 (3.37-3.90),5.08,10.68
oligodendrocytes 20,938.0,0.109,41.0,169,28,16.57,3.04 (2.56-3.51),141,83.43,3.56 (3.32-3.81),6.07,5.22
GABA like neurons 14,2402.0,0.456,85.0,455,69,15.16,3.38 (2.93-3.84),386,84.84,4.55 (4.35-4.74),15.75,7.60
astrocytes 8,520.0,0.165,63.0,288,70,24.31,3.88 (3.51-4.26),218,75.69,4.28 (4.04-4.51),7.78,3.69
oligodendrocyte progenitor cells 12,3303.0,0.07,39.0,276,37,13.41,2.58 (2.13-3.03),239,86.59,3.72 (3.49-3.96),10.67,4.25
oligodendrocytes 10,806.0,0.309,81.0,261,58,22.22,4.06 (3.71-4.41),203,77.78,4.46 (4.17-4.76),6.32,5.99
connective tissue cells 21,102.0,0.24,22.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.037,6.0,105,22,20.95,2.78 (1.98-3.58),83,79.05,3.34 (2.98-3.70),6.29,3.36
oligodendrocytes 16,90.0,0.277,78.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA),1.88,1.73
da neurons 6,409.0,0.259,89.0,235,17,7.23,3.77 (2.88-4.67),218,92.77,3.99 (3.73-4.25),5.21,4.35
astrocytes microglia 23,70.0,0.344,60.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA),NA,1.53
astrocytes 4,1807.0,0.113,7.0,104,20,19.23,2.32 (1.74-2.90),84,80.77,3.00 (2.69-3.32),12.26,3.76
oligodendrocytes 0,86.0,0.127,30.0,2,0,0.0,NA,2,100.0,NA,NA,1.59
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.137,61.0,345,80,23.19,4.09 (3.78-4.40),265,76.81,4.35 (4.08-4.61),9.43,4.57
oligodendrocytes 2,528.0,0.171,30.0,175,29,16.57,3.65 (3.19-4.11),146,83.43,4.55 (4.14-4.96),10.38,3.47
