tipo_celular,module_size,TBC1D32_MM,TBC1D32_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.187,51.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49),NA,2.34
T cells 18,610.0,0.192,76.0,98,2,2.04,1.08 (-0.63-2.78),96,97.96,3.17 (2.85-3.48),2.98,4.06
astrocytes 5,1141.0,0.162,86.0,166,5,3.01,2.06 (0.67-3.46),161,96.99,3.44 (3.19-3.69),3.44,4.58
oligodendrocyte progenitor cells 7,4285.0,0.148,70.0,353,9,2.55,2.00 (1.25-2.74),344,97.45,3.95 (3.77-4.14),10.48,8.00
GABA neurons expressing GLU receptors 22,848.0,0.177,35.0,262,8,3.05,2.28 (1.25-3.30),254,96.95,4.24 (4.00-4.49),5.13,4.07
GLU like neurons 17,229.0,0.187,43.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13),NA,3.09
da like neurons 11,89.0,0.452,91.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,2.49
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.139,59.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,403.0,0.099,42.0,18,0,0.0,NA,18,100.0,1.88 (1.20-2.56),NA,3.79
GABA like neurons 14,3052.0,0.17,75.0,125,3,2.4,4.27 (3.72-4.82),122,97.6,3.32 (2.99-3.65),1.82,8.78
astrocytes 8,262.0,0.216,83.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.109,82.0,276,5,1.81,2.41 (1.33-3.49),271,98.19,3.57 (3.35-3.79),6.64,5.08
oligodendrocytes 10,2107.0,0.251,82.0,358,8,2.23,1.88 (1.08-2.69),350,97.77,3.92 (3.73-4.11),7.15,9.53
connective tissue cells 21,106.0,0.191,8.0,4,0,0.0,NA,4,100.0,4.98 (4.91-5.06),NA,1.87
astrocytes 15,1768.0,0.135,86.0,105,5,4.76,1.23 (0.54-1.93),100,95.24,3.32 (2.98-3.66),4.55,3.95
oligodendrocytes 16,74.0,0.106,5.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,52.0,0.332,57.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
astrocytes 4,752.0,0.158,56.0,96,2,2.08,3.97 (3.67-4.27),94,97.92,3.27 (2.93-3.61),2.48,4.36
oligodendrocytes 0,309.0,0.15,68.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,813.0,0.088,15.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,639.0,0.117,66.0,15,1,6.67,2.23 (NA-NA),14,93.33,3.40 (1.93-4.88),1.41,2.28
oligodendrocytes 2,804.0,0.195,87.0,84,5,5.95,1.94 (0.81-3.08),79,94.05,2.75 (2.40-3.10),2.39,3.46
