tipo_celular,module_size,SSB_MM,SSB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,249.0,0.181,69.0,35,1,2.86,5.98 (NA-NA),34,97.14,3.66 (2.70-4.63),1.96,2.91
T cells 18,282.0,0.153,32.0,12,4,33.33,5.36 (4.86-5.86),8,66.67,2.27 (1.19-3.35),2.52,6.80
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.132,26.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,1069.0,0.107,12.0,37,4,10.81,2.11 (1.58-2.64),33,89.19,2.16 (1.65-2.68),2.58,3.16
GLU like neurons 17,1316.0,0.129,55.0,101,3,2.97,4.47 (1.41-7.53),98,97.03,3.00 (2.65-3.34),2.35,3.08
da like neurons 11,1220.0,0.239,67.0,410,23,5.61,3.37 (2.72-4.02),387,94.39,4.31 (4.12-4.51),10.10,7.36
GABA neurons expressing GABA receptors 13,265.0,0.091,7.0,78,5,6.41,2.70 (1.91-3.49),73,93.59,4.51 (4.08-4.93),4.87,4.22
endothelial cells 9,916.0,0.125,23.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,221.0,0.142,25.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,2402.0,0.39,79.0,455,43,9.45,2.70 (2.10-3.30),412,90.55,4.56 (4.38-4.75),18.41,7.84
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.069,34.0,235,4,1.7,4.15 (2.36-5.94),231,98.3,3.82 (3.58-4.05),18.70,7.42
oligodendrocytes 10,735.0,0.187,84.0,277,4,1.44,5.40 (4.26-6.54),273,98.56,3.88 (3.64-4.12),2.37,9.04
connective tissue cells 21,92.0,0.341,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,81.0,0.231,73.0,1,0,0.0,NA,1,100.0,NA,NA,3.71
da neurons 6,409.0,0.143,60.0,235,5,2.13,1.97 (0.72-3.23),230,97.87,4.04 (3.79-4.29),4.15,4.42
astrocytes microglia 23,157.0,0.421,94.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.123,28.0,127,26,20.47,3.18 (2.47-3.88),101,79.53,3.00 (2.49-3.51),3.34,7.04
microglia 1,406.0,0.107,20.0,278,1,0.36,5.39 (NA-NA),277,99.64,4.36 (4.08-4.63),2.31,6.75
oligodendrocytes 3,457.0,0.097,38.0,345,16,4.64,3.46 (2.93-3.98),329,95.36,4.33 (4.11-4.55),9.22,5.52
oligodendrocytes 2,528.0,0.193,46.0,175,6,3.43,3.22 (1.70-4.74),169,96.57,4.44 (4.09-4.80),3.53,4.66
