tipo_celular,module_size,SPHK2_MM,SPHK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.09,14.0,136,7,5.15,2.68 (1.47-3.90),129,94.85,3.24 (2.96-3.52),5.62,4.95
oligodendrocyte progenitor cells 7,666.0,0.102,9.0,127,26,20.47,3.13 (2.60-3.67),101,79.53,4.13 (3.73-4.54),3.87,6.34
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,853.0,0.077,10.0,133,43,32.33,2.18 (1.82-2.55),90,67.67,3.91 (3.53-4.29),5.60,3.48
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.012,2.0,110,9,8.18,2.20 (1.26-3.14),101,91.82,5.36 (4.93-5.78),3.81,3.50
GABA like neurons 14,3052.0,0.123,36.0,125,2,1.6,5.72 (NA-NA),123,98.4,3.33 (3.01-3.65),1.86,8.72
astrocytes 8,603.0,0.062,37.0,89,6,6.74,1.16 (0.94-1.38),83,93.26,2.92 (2.56-3.28),5.02,6.12
oligodendrocyte progenitor cells 12,1049.0,0.081,42.0,235,32,13.62,3.91 (3.73-4.08),203,86.38,3.81 (3.53-4.08),4.46,8.11
oligodendrocytes 10,735.0,0.09,45.0,277,19,6.86,3.92 (3.85-3.99),258,93.14,3.89 (3.63-4.16),4.52,9.27
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.058,21.0,105,25,23.81,1.78 (1.46-2.11),80,76.19,3.71 (3.33-4.08),6.27,3.26
oligodendrocytes 16,158.0,0.209,57.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,228.0,0.091,40.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,157.0,0.38,86.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.144,49.0,104,28,26.92,1.98 (1.54-2.42),76,73.08,3.23 (2.91-3.54),10.32,3.58
oligodendrocytes 0,613.0,0.083,3.0,127,15,11.81,2.14 (1.81-2.47),112,88.19,3.26 (2.77-3.75),3.46,6.65
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.086,57.0,76,1,1.32,3.74 (NA-NA),75,98.68,3.15 (2.75-3.55),6.36,7.30
oligodendrocytes 2,1630.0,0.172,95.0,154,2,1.3,2.27 (1.39-3.14),152,98.7,3.26 (2.99-3.53),3.45,3.59
