tipo_celular,module_size,ZGRF1_MM,ZGRF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.037,11.0,33,3,9.09,5.16 (NA-NA),30,90.91,2.65 (2.18-3.12),2.43,3.48
GABA like neurons 14,3052.0,0.067,4.0,125,4,3.2,3.81 (2.47-5.14),121,96.8,3.34 (3.01-3.67),2.88,8.80
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.2,69.0,358,30,8.38,2.23 (1.55-2.91),328,91.62,4.05 (3.87-4.24),24.18,8.13
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,61.0,0.129,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.344,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.112,45.0,238,9,3.78,3.45 (2.08-4.82),229,96.22,3.64 (3.42-3.87),7.09,4.94
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.061,21.0,127,1,0.79,NA,126,99.21,3.12 (2.79-3.45),2.39,4.25
oligodendrocytes 2,1630.0,0.108,6.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51),2.89,3.60
