tipo_celular,module_size,GOT2_MM,GOT2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,296.0,0.141,25.0,251,1,0.4,3.42 (NA-NA),250,99.6,4.07 (3.83-4.31),2.98,6.17
GABA neurons expressing GLU receptors 22,848.0,0.214,52.0,262,13,4.96,2.08 (1.06-3.10),249,95.04,4.26 (4.02-4.51),10.61,3.76
GLU like neurons 17,1316.0,0.17,84.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,1220.0,0.233,66.0,410,15,3.66,2.72 (2.07-3.37),395,96.34,4.31 (4.12-4.50),19.82,7.05
GABA neurons expressing GABA receptors 13,357.0,0.19,64.0,237,5,2.11,4.42 (3.71-5.13),232,97.89,4.41 (4.17-4.64),2.71,4.22
endothelial cells 9,338.0,0.131,50.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12),9.76,9.15
oligodendrocytes 20,676.0,0.019,3.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,2402.0,0.328,71.0,455,26,5.71,1.88 (1.34-2.43),429,94.29,4.52 (4.34-4.70),27.87,7.68
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.076,47.0,276,15,5.43,1.93 (1.52-2.34),261,94.57,3.67 (3.44-3.89),14.64,4.56
oligodendrocytes 10,806.0,0.202,64.0,261,10,3.83,2.07 (1.58-2.57),251,96.17,4.44 (4.20-4.68),8.40,5.97
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,90.0,0.217,50.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09),NA,1.80
da neurons 6,300.0,0.219,69.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67),NA,3.73
astrocytes microglia 23,53.0,0.384,85.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.1,21.0,238,5,2.1,2.11 (1.11-3.10),233,97.9,3.68 (3.45-3.90),7.66,4.97
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.102,42.0,345,13,3.77,2.84 (2.17-3.50),332,96.23,4.33 (4.12-4.54),20.13,5.13
oligodendrocytes 2,1630.0,0.154,74.0,154,2,1.3,2.47 (1.19-3.75),152,98.7,3.26 (2.99-3.52),5.25,3.57
