tipo_celular,module_size,MAP2K1_MM,MAP2K1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,352,0.362,97.0,73,14,19.18,4.05 (3.78-4.32),59,80.82,3.42 (2.98-3.85),2.48,3.40
T cells 18,727,0.147,54.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83),5.05,6.26
astrocytes 5,156,0.113,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666,0.137,27.0,127,39,30.71,3.76 (3.24-4.29),88,69.29,3.88 (3.44-4.32),3.48,6.88
GABA neurons expressing GLU receptors 22,487,0.294,75.0,73,4,5.48,2.22 (0.60-3.84),69,94.52,2.79 (2.39-3.19),2.31,7.62
GLU like neurons 17,685,0.135,54.0,135,50,37.04,2.69 (2.32-3.05),85,62.96,3.54 (3.11-3.98),3.87,3.68
da like neurons 11,204,0.182,49.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,265,0.13,34.0,78,10,12.82,3.33 (2.50-4.16),68,87.18,4.56 (4.11-5.01),5.15,4.13
endothelial cells 9,412,0.138,32.0,141,16,11.35,3.07 (2.28-3.85),125,88.65,2.95 (2.69-3.20),3.19,7.28
oligodendrocytes 20,253,0.157,49.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,2402,0.194,40.0,455,39,8.57,2.74 (2.13-3.34),416,91.43,4.55 (4.36-4.73),17.18,8.05
astrocytes 8,1266,0.119,77.0,66,34,51.52,2.92 (2.39-3.45),32,48.48,3.68 (3.03-4.33),3.12,2.78
oligodendrocyte progenitor cells 12,3303,0.064,31.0,276,64,23.19,2.61 (2.33-2.88),212,76.81,3.95 (3.69-4.21),7.84,4.29
oligodendrocytes 10,2107,0.126,42.0,358,75,20.95,2.32 (2.07-2.57),283,79.05,4.47 (4.28-4.66),18.93,6.96
connective tissue cells 21,84,0.27,57.0,4,4,100.0,4.34 (4.07-4.60),0,0.0,NA,1.83,NA
astrocytes 15,338,0.036,2.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,92,0.2,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,300,0.086,11.0,159,3,1.89,4.79 (3.01-6.58),156,98.11,4.35 (4.04-4.67),3.54,3.73
astrocytes microglia 23,67,0.33,57.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,161,0.148,30.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91),NA,3.11
oligodendrocytes 0,309,0.067,2.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69),NA,2.87
microglia 1,480,0.218,63.0,163,30,18.4,4.22 (3.82-4.62),133,81.6,3.59 (3.28-3.90),3.59,5.52
oligodendrocytes 3,854,0.044,3.0,76,8,10.53,3.40 (2.43-4.37),68,89.47,2.70 (2.35-3.05),2.82,4.94
oligodendrocytes 2,1630,0.115,9.0,154,2,1.3,2.27 (1.39-3.14),152,98.7,3.26 (2.99-3.53),3.45,3.59
