tipo_celular,module_size,RTF2_MM,RTF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.251,73.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52),NA,5.26
T cells 18,518.0,0.09,8.0,131,1,0.76,2.04 (NA-NA),130,99.24,3.08 (2.81-3.36),1.74,4.78
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,13,3.68,0.92 (0.59-1.25),340,96.32,4.04 (3.86-4.22),36.40,6.98
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,172.0,0.079,3.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.091,21.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88),5.84,5.52
oligodendrocytes 20,938.0,0.172,71.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74),3.88,5.38
GABA like neurons 14,2090.0,0.102,15.0,74,1,1.35,2.33 (NA-NA),73,98.65,2.95 (2.57-3.33),2.03,10.62
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.084,58.0,276,7,2.54,1.37 (1.04-1.70),269,97.46,3.62 (3.40-3.83),9.44,5.00
oligodendrocytes 10,2107.0,0.075,15.0,358,16,4.47,1.07 (0.73-1.41),342,95.53,4.04 (3.86-4.22),29.07,8.56
connective tissue cells 21,85.0,0.378,81.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75),NA,3.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,116.0,0.31,96.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68),NA,1.37
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,131.0,0.288,42.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.117,56.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,958.0,0.127,72.0,290,3,1.03,1.31 (0.80-1.82),287,98.97,3.85 (3.62-4.08),5.80,4.99
oligodendrocytes 3,681.0,0.053,9.0,87,8,9.2,1.24 (0.80-1.68),79,90.8,2.73 (2.45-3.01),5.38,4.13
oligodendrocytes 2,1630.0,0.142,51.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
