tipo_celular,module_size,ATP5PB_MM,ATP5PB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,184,0.282,85.0,21,11,52.38,1.28 (0.76-1.80),10,47.62,3.55 (3.01-4.10),2.12,1.88
T cells 18,282,0.117,28.0,241,25,10.37,3.63 (3.38-3.87),216,89.63,4.13 (3.84-4.42),5.85,4.16
astrocytes 5,228,0.129,26.0,266,56,21.05,3.16 (2.84-3.48),210,78.95,4.47 (4.23-4.71),6.50,4.57
oligodendrocyte progenitor cells 7,628,0.148,38.0,164,22,13.41,3.65 (3.14-4.16),142,86.59,4.17 (3.79-4.55),3.62,8.13
GABA neurons expressing GLU receptors 22,567,0.186,48.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,637,0.139,42.0,91,12,13.19,1.75 (0.68-2.82),79,86.81,5.14 (4.69-5.60),3.20,3.04
da like neurons 11,1220,0.298,80.0,410,59,14.39,3.54 (3.27-3.81),351,85.61,4.41 (4.19-4.63),15.24,6.22
GABA neurons expressing GABA receptors 13,357,0.199,67.0,237,1,0.42,3.37 (NA-NA),236,99.58,4.41 (4.18-4.65),1.67,4.19
endothelial cells 9,338,0.144,57.0,191,5,2.62,2.78 (2.32-3.25),186,97.38,3.92 (3.69-4.15),2.10,9.35
oligodendrocytes 20,938,0.144,59.0,169,44,26.04,3.43 (3.11-3.75),125,73.96,3.50 (3.22-3.79),3.92,5.87
GABA like neurons 14,2402,0.32,70.0,455,65,14.29,3.10 (2.74-3.46),390,85.71,4.63 (4.43-4.83),17.63,7.37
astrocytes 8,520,0.198,70.0,288,37,12.85,3.51 (3.20-3.82),251,87.15,4.31 (4.08-4.53),4.58,4.70
oligodendrocyte progenitor cells 12,3303,0.051,16.0,276,17,6.16,2.02 (1.58-2.47),259,93.84,3.68 (3.45-3.90),14.35,4.50
oligodendrocytes 10,735,0.249,95.0,277,22,7.94,3.88 (3.77-3.99),255,92.06,3.90 (3.63-4.16),4.38,9.34
connective tissue cells 21,77,0.333,72.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60),NA,3.00
astrocytes 15,1401,0.05,17.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,313,0.193,39.0,291,13,4.47,2.85 (2.29-3.41),278,95.53,4.42 (4.19-4.65),2.87,3.86
da neurons 6,409,0.253,89.0,235,42,17.87,3.40 (3.13-3.67),193,82.13,4.17 (3.85-4.48),5.76,4.12
astrocytes microglia 23,109,0.237,9.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807,0.149,59.0,104,14,13.46,1.46 (1.05-1.87),90,86.54,3.10 (2.81-3.39),14.22,4.03
oligodendrocytes 0,2078,0.103,26.0,238,4,1.68,1.82 (0.56-3.08),234,98.32,3.67 (3.45-3.89),12.92,4.89
microglia 1,214,0.157,43.0,227,55,24.23,3.65 (3.38-3.91),172,75.77,4.29 (3.98-4.60),8.45,5.37
oligodendrocytes 3,457,0.114,49.0,345,4,1.16,2.75 (1.32-4.18),341,98.84,4.29 (4.08-4.50),2.98,5.72
oligodendrocytes 2,528,0.199,50.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75),7.99,4.60
