tipo_celular,module_size,RYR1_MM,RYR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.208,72.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58),3.06,3.63
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,156.0,0.112,24.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,33,9.35,1.95 (1.57-2.33),320,90.65,4.16 (3.98-4.34),17.67,7.07
GABA neurons expressing GLU receptors 22,599.0,0.239,66.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,1247.0,0.065,7.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30),2.73,3.26
da like neurons 11,853.0,0.197,83.0,133,13,9.77,1.62 (0.97-2.26),120,90.23,3.47 (3.15-3.79),4.87,4.09
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.207,82.0,74,1,1.35,3.22 (NA-NA),73,98.65,2.94 (2.56-3.32),1.70,10.62
astrocytes 8,1266.0,0.187,94.0,66,14,21.21,1.36 (0.84-1.89),52,78.79,3.83 (3.45-4.22),3.27,2.87
oligodendrocyte progenitor cells 12,3303.0,0.072,41.0,276,24,8.7,2.28 (1.88-2.67),252,91.3,3.70 (3.47-3.94),4.89,5.13
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.063,28.0,96,8,8.33,3.26 (2.27-4.24),88,91.67,3.65 (3.16-4.14),3.30,3.84
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,253.0,0.289,73.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17),NA,3.08
astrocytes 4,161.0,0.153,37.0,45,2,4.44,NA,43,95.56,5.28 (4.66-5.91),1.69,3.17
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,315.0,0.157,42.0,144,12,8.33,3.61 (2.92-4.30),132,91.67,4.55 (4.22-4.88),3.75,4.25
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
