tipo_celular,module_size,UBE2K_MM,UBE2K_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159,0.097,1.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,624,0.159,56.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48),NA,4.30
astrocytes 5,1141,0.085,4.0,166,39,23.49,2.81 (2.35-3.27),127,76.51,3.58 (3.29-3.87),5.70,4.20
oligodendrocyte progenitor cells 7,4285,0.129,40.0,353,50,14.16,2.49 (2.06-2.91),303,85.84,4.15 (3.96-4.34),19.46,6.18
GABA neurons expressing GLU receptors 22,1069,0.218,83.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247,0.116,36.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,153,0.175,31.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA),NA,6.43
GABA neurons expressing GABA receptors 13,238,0.16,47.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,1653,0.143,62.0,297,16,5.39,4.01 (3.23-4.79),281,94.61,3.66 (3.45-3.87),8.02,5.38
oligodendrocytes 20,279,0.122,16.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13),NA,3.48
GABA like neurons 14,1300,0.178,36.0,306,22,7.19,2.61 (2.04-3.19),284,92.81,5.37 (5.12-5.63),5.27,6.82
astrocytes 8,727,0.137,67.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,46,16.67,2.84 (2.44-3.24),230,83.33,3.70 (3.45-3.94),8.36,4.46
oligodendrocytes 10,2107,0.173,59.0,358,58,16.2,2.36 (1.96-2.76),300,83.8,4.19 (4.00-4.39),19.48,7.54
connective tissue cells 21,114,0.195,12.0,11,2,18.18,0.79 (0.03-1.55),9,81.82,1.81 (0.52-3.10),2.82,1.99
astrocytes 15,1768,0.063,26.0,105,24,22.86,2.55 (2.04-3.06),81,77.14,3.43 (3.03-3.83),6.06,3.36
oligodendrocytes 16,85,0.166,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553,0.166,72.0,124,19,15.32,3.70 (2.84-4.55),105,84.68,4.25 (3.82-4.68),2.71,3.09
astrocytes microglia 23,70,0.163,3.0,76,2,2.63,NA,74,97.37,4.20 (3.69-4.72),7.51,4.45
astrocytes 4,752,0.134,23.0,96,11,11.46,3.43 (2.31-4.55),85,88.54,3.28 (2.93-3.62),2.65,4.54
oligodendrocytes 0,1186,0.144,48.0,300,10,3.33,3.17 (2.74-3.59),290,96.67,3.81 (3.60-4.02),2.86,4.20
microglia 1,958,0.081,8.0,290,29,10.0,2.78 (2.34-3.22),261,90.0,3.93 (3.69-4.18),4.21,5.09
oligodendrocytes 3,854,0.08,38.0,76,4,5.26,2.11 (0.24-3.98),72,94.74,2.81 (2.48-3.14),3.40,4.79
oligodendrocytes 2,804,0.15,49.0,84,31,36.9,3.16 (2.62-3.71),53,63.1,2.44 (2.03-2.85),3.85,3.13
