tipo_celular,module_size,ADAM22_MM,ADAM22_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,518.0,0.039,0.0,131,1,0.76,3.50 (NA-NA),130,99.24,3.07 (2.79-3.35),1.88,4.78
astrocytes 5,1141.0,0.168,90.0,166,9,5.42,1.62 (0.88-2.35),157,94.58,3.52 (3.26-3.77),4.21,4.57
oligodendrocyte progenitor cells 7,436.0,0.115,40.0,219,9,4.11,3.56 (2.94-4.19),210,95.89,5.29 (5.00-5.59),11.15,4.33
GABA neurons expressing GLU receptors 22,567.0,0.16,36.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,795.0,0.145,57.0,80,4,5.0,3.14 (1.94-4.35),76,95.0,5.82 (5.42-6.22),5.52,2.88
da like neurons 11,109.0,0.361,87.0,1,0,0.0,NA,1,100.0,1.71 (NA-NA),NA,6.86
GABA neurons expressing GABA receptors 13,357.0,0.167,53.0,237,2,0.84,4.19 (2.28-6.10),235,99.16,4.41 (4.18-4.64),4.99,4.18
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.244,71.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,1300.0,0.099,9.0,306,23,7.52,2.90 (2.23-3.56),283,92.48,5.34 (5.08-5.60),11.97,6.28
astrocytes 8,283.0,0.283,96.0,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,153.0,0.447,68.0,27,2,7.41,NA,25,92.59,4.76 (3.76-5.76),2.16,2.15
oligodendrocytes 10,806.0,0.065,13.0,261,6,2.3,3.70 (2.11-5.29),255,97.7,4.38 (4.13-4.62),8.40,6.01
connective tissue cells 21,145.0,0.221,13.0,1,0,0.0,NA,1,100.0,NA,NA,1.58
astrocytes 15,1768.0,0.134,85.0,105,12,11.43,1.83 (1.21-2.45),93,88.57,3.41 (3.05-3.76),5.92,3.73
oligodendrocytes 16,90.0,0.126,12.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.134,76.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,57.0,0.348,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,752.0,0.179,87.0,96,2,2.08,2.64 (2.44-2.84),94,97.92,3.31 (2.97-3.64),2.11,4.37
oligodendrocytes 0,1186.0,0.164,81.0,300,1,0.33,2.54 (NA-NA),299,99.67,3.80 (3.59-4.00),14.28,4.12
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,1003.0,0.133,78.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,804.0,0.155,54.0,84,4,4.76,1.69 (0.31-3.08),80,95.24,2.75 (2.41-3.09),4.40,3.35
