tipo_celular,module_size,UACA_MM,UACA_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401.0,0.161,53.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24),NA,3.33
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.109,22.0,166,11,6.63,1.93 (1.26-2.60),155,93.37,3.52 (3.26-3.77),11.34,4.07
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,567.0,0.094,8.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,204.0,0.177,44.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09),NA,4.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.208,92.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,298.0,0.279,90.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 8,577.0,0.049,17.0,83,1,1.2,0.87 (NA-NA),82,98.8,3.29 (2.84-3.74),1.30,4.51
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,2107.0,0.094,26.0,358,21,5.87,1.52 (1.04-2.00),337,94.13,4.06 (3.88-4.25),39.31,7.61
connective tissue cells 21,114.0,0.26,47.0,19,6,31.58,3.35 (2.94-3.75),13,68.42,5.54 (4.82-6.27),1.70,2.31
astrocytes 15,1768.0,0.063,26.0,105,9,8.57,1.78 (1.19-2.38),96,91.43,3.36 (3.01-3.71),8.58,3.55
oligodendrocytes 16,69.0,0.167,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,127.0,0.272,24.0,1,0,0.0,NA,1,100.0,NA,NA,1.78
astrocytes 4,787.0,0.16,67.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,2078.0,0.145,96.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87),13.66,4.99
microglia 1,1615.0,0.095,27.0,161,17,10.56,1.63 (1.02-2.24),144,89.44,3.52 (3.25-3.78),17.89,3.96
oligodendrocytes 3,357.0,0.301,98.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45),NA,4.24
oligodendrocytes 2,804.0,0.213,95.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09),3.00,3.41
