tipo_celular,module_size,PCBP1_MM,PCBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,125.0,0.223,56.0,1,0,0.0,NA,1,100.0,0.55 (NA-NA),NA,3.32
T cells 18,506.0,0.263,71.0,225,25,11.11,2.50 (1.70-3.30),200,88.89,3.74 (3.48-4.00),14.11,7.13
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.189,64.0,164,3,1.83,3.17 (1.32-5.02),161,98.17,4.11 (3.78-4.44),7.17,7.53
GABA neurons expressing GLU receptors 22,1069.0,0.168,52.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69),2.44,3.18
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.273,76.0,410,14,3.41,3.61 (2.39-4.82),396,96.59,4.26 (4.07-4.45),17.30,7.17
GABA neurons expressing GABA receptors 13,238.0,0.07,1.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40),NA,17.22
endothelial cells 9,385.0,0.184,88.0,275,61,22.18,2.03 (1.74-2.33),214,77.82,4.66 (4.40-4.91),10.76,4.49
oligodendrocytes 20,358.0,0.117,32.0,31,3,9.68,3.29 (2.72-3.86),28,90.32,2.25 (1.79-2.72),1.88,4.04
GABA like neurons 14,2402.0,0.423,82.0,455,33,7.25,1.97 (1.39-2.55),422,92.75,4.55 (4.37-4.72),21.66,7.83
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.066,34.0,276,48,17.39,2.02 (1.80-2.24),228,82.61,3.95 (3.71-4.18),8.77,4.34
oligodendrocytes 10,735.0,0.179,83.0,277,3,1.08,6.03 (5.93-6.13),274,98.92,3.87 (3.63-4.11),2.44,9.02
connective tissue cells 21,118.0,0.376,82.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA),NA,3.19
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,91.0,0.162,23.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA),NA,5.09
da neurons 6,307.0,0.081,15.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28),NA,3.36
astrocytes microglia 23,134.0,0.28,33.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.19,85.0,127,18,14.17,2.21 (1.77-2.65),109,85.83,3.23 (2.75-3.71),3.85,6.68
microglia 1,406.0,0.19,53.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63),NA,6.74
oligodendrocytes 3,457.0,0.115,50.0,345,13,3.77,3.65 (2.73-4.57),332,96.23,4.29 (4.08-4.51),17.87,5.22
oligodendrocytes 2,528.0,0.291,83.0,175,14,8.0,3.54 (2.41-4.66),161,92.0,4.45 (4.08-4.81),11.92,3.98
