tipo_celular,module_size,COX15_MM,COX15_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.111,42.0,136,2,1.47,1.28 (1.19-1.36),134,98.53,3.24 (2.97-3.51),8.70,4.93
oligodendrocyte progenitor cells 7,4285.0,0.098,9.0,353,30,8.5,1.65 (1.29-2.01),323,91.5,4.17 (3.99-4.34),31.31,5.91
GABA neurons expressing GLU receptors 22,703.0,0.242,80.0,23,2,8.7,1.85 (0.53-3.17),21,91.3,2.12 (1.34-2.89),1.66,4.14
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,168.0,0.082,18.0,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.118,32.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,1266.0,0.007,0.0,66,16,24.24,1.68 (1.12-2.25),50,75.76,3.83 (3.41-4.24),4.21,2.55
oligodendrocyte progenitor cells 12,3303.0,0.035,5.0,276,22,7.97,2.05 (1.69-2.41),254,92.03,3.72 (3.49-3.94),16.01,4.17
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.064,27.0,105,17,16.19,1.66 (1.25-2.07),88,83.81,3.54 (3.18-3.90),7.35,3.33
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,72.0,0.414,91.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.152,64.0,104,17,16.35,1.77 (1.26-2.28),87,83.65,3.10 (2.80-3.40),14.32,3.65
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
