tipo_celular,module_size,SRGAP2C_MM,SRGAP2C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,235.0,0.467,92.0,140,26,18.57,4.51 (4.02-5.00),114,81.43,4.57 (4.23-4.90),4.05,3.43
T cells 18,477.0,0.199,73.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.2,100.0,353,10,2.83,1.94 (1.36-2.52),343,97.17,3.96 (3.78-4.15),8.98,8.04
GABA neurons expressing GLU receptors 22,714.0,0.165,40.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1316.0,0.159,78.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41),2.05,3.06
da like neurons 11,200.0,0.28,76.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.2,50.0,120,15,12.5,5.05 (4.20-5.90),105,87.5,4.53 (4.19-4.87),3.68,3.65
oligodendrocytes 20,221.0,0.235,64.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.161,69.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,9,3.26,2.18 (1.14-3.21),267,96.74,3.60 (3.38-3.82),4.58,5.13
oligodendrocytes 10,2107.0,0.268,84.0,358,14,3.91,1.65 (1.21-2.09),344,96.09,3.98 (3.79-4.17),6.85,9.58
connective tissue cells 21,100.0,0.359,85.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,155.0,0.215,49.0,8,1,12.5,5.19 (NA-NA),7,87.5,2.10 (-1.23-5.42),2.15,1.58
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,229.0,0.364,72.0,99,15,15.15,4.11 (3.50-4.71),84,84.85,4.34 (3.95-4.72),4.10,3.08
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.134,87.0,238,2,0.84,1.22 (-0.77-3.20),236,99.16,3.66 (3.44-3.88),9.83,4.98
microglia 1,315.0,0.247,79.0,144,19,13.19,4.67 (3.90-5.43),125,86.81,4.42 (4.09-4.76),3.45,4.32
oligodendrocytes 3,1003.0,0.07,21.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,1630.0,0.152,71.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
