tipo_celular,module_size,INPP5A_MM,INPP5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.131,34.0,59,1,1.69,2.74 (NA-NA),58,98.31,3.11 (2.60-3.62),2.27,5.40
astrocytes 5,932.0,0.147,90.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10),1.96,4.36
oligodendrocyte progenitor cells 7,666.0,0.233,82.0,127,13,10.24,2.46 (1.89-3.02),114,89.76,4.08 (3.72-4.43),4.34,6.01
GABA neurons expressing GLU receptors 22,703.0,0.292,95.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,1247.0,0.147,60.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,172.0,0.284,67.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86),NA,2.87
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,303.0,0.258,70.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46),NA,5.04
oligodendrocytes 20,348.0,0.242,83.0,33,1,3.03,2.74 (NA-NA),32,96.97,2.73 (2.23-3.24),1.87,3.43
GABA like neurons 14,2090.0,0.121,27.0,74,2,2.7,2.53 (NA-NA),72,97.3,2.95 (2.57-3.33),3.72,10.69
astrocytes 8,1266.0,0.07,37.0,66,4,6.06,1.87 (0.39-3.34),62,93.94,3.33 (2.90-3.76),2.94,2.95
oligodendrocyte progenitor cells 12,3303.0,0.067,35.0,276,11,3.99,2.05 (1.21-2.89),265,96.01,3.61 (3.39-3.83),7.72,5.00
oligodendrocytes 10,2107.0,0.173,60.0,358,10,2.79,1.40 (0.82-1.98),348,97.21,3.96 (3.77-4.15),12.17,9.39
connective tissue cells 21,102.0,0.307,55.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.047,11.0,105,7,6.67,1.62 (0.83-2.41),98,93.33,3.34 (2.99-3.68),5.58,3.86
oligodendrocytes 16,64.0,0.156,21.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA),NA,1.77
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,134.0,0.229,8.0,2,0,0.0,NA,2,100.0,2.08 (-0.39-4.55),NA,1.74
astrocytes 4,787.0,0.141,30.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186.0,0.173,88.0,300,8,2.67,3.67 (3.05-4.29),292,97.33,3.80 (3.59-4.01),4.55,4.14
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.141,83.0,87,5,5.75,1.72 (0.85-2.59),82,94.25,2.64 (2.36-2.92),3.23,4.30
oligodendrocytes 2,921.0,0.17,91.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89),NA,3.46
