tipo_celular,module_size,CADM1_MM,CADM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,305.0,0.478,92.0,15,5,33.33,4.55 (4.27-4.84),10,66.67,6.25 (5.53-6.97),2.82,2.09
T cells 18,349.0,0.29,77.0,68,12,17.65,2.89 (1.77-4.01),56,82.35,4.68 (4.09-5.27),2.97,3.39
astrocytes 5,222.0,0.15,25.0,98,4,4.08,2.54 (0.87-4.21),94,95.92,4.70 (4.30-5.11),2.64,2.65
oligodendrocyte progenitor cells 7,436.0,0.084,20.0,219,9,4.11,4.85 (3.54-6.15),210,95.89,5.23 (4.93-5.53),10.70,4.35
GABA neurons expressing GLU receptors 22,459.0,0.223,74.0,165,10,6.06,3.08 (1.49-4.67),155,93.94,5.23 (4.90-5.57),3.92,4.10
GLU like neurons 17,795.0,0.167,67.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,191.0,0.138,22.0,93,13,13.98,4.27 (3.20-5.34),80,86.02,5.91 (5.50-6.31),5.80,3.86
GABA neurons expressing GABA receptors 13,200.0,0.273,96.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76),NA,3.49
endothelial cells 9,450.0,0.573,92.0,74,5,6.76,4.65 (4.02-5.28),69,93.24,5.52 (4.93-6.10),3.94,3.61
oligodendrocytes 20,676.0,0.335,59.0,110,13,11.82,3.08 (2.04-4.11),97,88.18,5.31 (4.85-5.76),4.38,3.41
GABA like neurons 14,1300.0,0.223,58.0,306,21,6.86,3.35 (2.42-4.28),285,93.14,5.27 (5.01-5.53),11.11,6.38
astrocytes 8,279.0,0.158,9.0,78,9,11.54,2.57 (1.95-3.19),69,88.46,4.59 (4.16-5.01),3.31,2.63
oligodendrocyte progenitor cells 12,708.0,0.294,85.0,32,1,3.12,4.70 (NA-NA),31,96.88,3.19 (2.36-4.02),3.98,2.55
oligodendrocytes 10,204.0,0.419,43.0,92,10,10.87,4.60 (3.17-6.03),82,89.13,5.86 (5.37-6.35),4.45,3.63
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,418.0,0.137,53.0,54,5,9.26,3.70 (2.11-5.30),49,90.74,3.68 (3.22-4.14),3.83,2.93
oligodendrocytes 16,287.0,0.16,14.0,105,15,14.29,2.99 (2.15-3.82),90,85.71,5.60 (5.17-6.02),3.50,3.46
da neurons 6,448.0,0.2,96.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,166.0,0.341,71.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36),2.59,5.26
astrocytes 4,171.0,0.124,15.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46),NA,2.02
oligodendrocytes 0,187.0,0.068,1.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,346.0,0.317,92.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,127.0,0.135,7.0,45,7,15.56,2.62 (1.66-3.59),38,84.44,4.94 (3.97-5.91),2.07,6.63
oligodendrocytes 2,348.0,0.221,60.0,114,8,7.02,3.69 (2.83-4.56),106,92.98,5.25 (4.82-5.68),4.76,4.36
