tipo_celular,module_size,FTCDNL1_MM,FTCDNL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.151,42.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50),NA,3.61
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,499.0,0.167,53.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52),NA,3.79
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,5,1.42,0.42 (0.32-0.52),348,98.58,3.95 (3.77-4.14),69.58,7.18
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,637.0,0.167,54.0,91,5,5.49,0.42 (0.32-0.52),86,94.51,4.87 (4.39-5.34),3.30,3.05
da like neurons 11,408.0,0.166,49.0,25,1,4.0,0.26 (NA-NA),24,96.0,4.84 (3.54-6.14),2.49,2.27
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.04,10.0,18,4,22.22,0.46 (0.38-0.54),14,77.78,2.28 (1.54-3.03),7.17,2.83
GABA like neurons 14,3052.0,0.146,56.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,577.0,0.079,45.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70),NA,4.47
oligodendrocyte progenitor cells 12,708.0,0.144,64.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,1277.0,0.184,87.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,338.0,0.131,35.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51),NA,5.71
oligodendrocytes 16,158.0,0.13,4.0,30,0,0.0,NA,30,100.0,2.33 (1.68-2.98),NA,12.02
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.141,0.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,752.0,0.147,40.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62),NA,4.32
oligodendrocytes 0,479.0,0.215,85.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,813.0,0.119,54.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,1003.0,0.165,89.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,237.0,0.255,67.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15),NA,2.55
