tipo_celular,module_size,TSGA10_MM,TSGA10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,159.0,0.218,56.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51),NA,3.27
T cells 18,349.0,0.066,5.0,68,2,2.94,4.33 (4.33-4.33),66,97.06,4.37 (3.79-4.95),4.00,3.29
astrocytes 5,499.0,0.131,29.0,32,2,6.25,5.67 (3.04-8.29),30,93.75,4.96 (4.46-5.46),4.83,3.72
oligodendrocyte progenitor cells 7,4285.0,0.152,76.0,353,4,1.13,0.85 (0.13-1.57),349,98.87,3.93 (3.75-4.12),33.33,7.77
GABA neurons expressing GLU receptors 22,714.0,0.324,94.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89),NA,3.57
GLU like neurons 17,1316.0,0.223,97.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40),NA,3.05
da like neurons 11,120.0,0.238,48.0,1,0,0.0,NA,1,100.0,NA,NA,1.33
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,221.0,0.416,93.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00),NA,4.23
GABA like neurons 14,3052.0,0.151,61.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,727.0,0.052,12.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,708.0,0.098,42.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84),NA,2.54
oligodendrocytes 10,1277.0,0.073,25.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,96.0,0.305,64.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.064,29.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,71.0,0.215,73.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,39.0,0.336,43.0,1,0,0.0,NA,1,100.0,NA,NA,1.30
astrocytes 4,787.0,0.152,52.0,65,1,1.54,4.33 (NA-NA),64,98.46,2.94 (2.54-3.33),1.80,5.81
oligodendrocytes 0,479.0,0.142,41.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38),NA,3.47
microglia 1,1615.0,0.12,64.0,161,4,2.48,0.85 (0.13-1.57),157,97.52,3.35 (3.08-3.61),11.12,5.29
oligodendrocytes 3,639.0,0.147,80.0,15,1,6.67,0.39 (NA-NA),14,93.33,3.56 (2.17-4.95),2.51,2.20
oligodendrocytes 2,804.0,0.172,71.0,84,0,0.0,NA,84,100.0,2.69 (2.35-3.02),NA,3.40
