tipo_celular,module_size,PARVB_MM,PARVB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218.0,0.136,8.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,599.0,0.483,99.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03),NA,3.95
GLU like neurons 17,489.0,0.174,69.0,42,7,16.67,5.21 (3.94-6.47),35,83.33,6.23 (5.63-6.83),4.05,3.04
da like neurons 11,853.0,0.149,62.0,133,10,7.52,2.56 (1.25-3.86),123,92.48,3.32 (3.00-3.64),3.83,4.19
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.293,76.0,120,12,10.0,5.07 (3.92-6.22),108,90.0,4.56 (4.23-4.89),2.75,3.75
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.145,44.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,100.0,0.208,24.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52),NA,1.97
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.065,3.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61),3.77,3.03
astrocytes microglia 23,121.0,0.265,19.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA),NA,1.47
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,480.0,0.206,58.0,163,4,2.45,5.85 (3.59-8.11),159,97.55,3.68 (3.41-3.94),2.02,5.25
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
