tipo_celular,module_size,LCA5_MM,LCA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,423.0,0.193,74.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88),NA,5.02
oligodendrocyte progenitor cells 7,4285.0,0.128,39.0,353,23,6.52,2.06 (1.39-2.73),330,93.48,4.04 (3.86-4.22),21.25,7.14
GABA neurons expressing GLU receptors 22,714.0,0.155,34.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,380.0,0.298,98.0,39,2,5.13,2.51 (1.64-3.37),37,94.87,2.99 (2.41-3.58),4.09,2.49
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.095,23.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88),6.57,5.51
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.154,63.0,125,4,3.2,4.39 (4.06-4.72),121,96.8,3.33 (3.00-3.66),3.17,8.79
astrocytes 8,262.0,0.071,14.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,3303.0,0.027,2.0,276,15,5.43,2.93 (2.15-3.71),261,94.57,3.58 (3.36-3.81),7.90,4.95
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.041,7.0,105,7,6.67,1.67 (0.93-2.40),98,93.33,3.33 (2.99-3.68),4.97,3.91
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,115.0,0.485,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,514.0,0.168,41.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79),NA,4.64
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
