tipo_celular,module_size,KLHL13_MM,KLHL13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1141.0,0.135,57.0,166,23,13.86,2.81 (2.16-3.46),143,86.14,3.49 (3.22-3.76),5.26,4.44
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,31,8.78,2.57 (2.02-3.13),322,91.22,4.04 (3.85-4.23),20.64,6.85
GABA neurons expressing GLU receptors 22,703.0,0.382,100.0,23,3,13.04,3.38 (2.28-4.48),20,86.96,1.89 (1.12-2.66),3.34,4.01
GLU like neurons 17,795.0,0.104,32.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,191.0,0.298,55.0,93,0,0.0,NA,93,100.0,5.65 (5.25-6.05),NA,4.14
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.18,82.0,125,7,5.6,3.54 (2.91-4.17),118,94.4,3.34 (3.01-3.68),4.81,8.84
astrocytes 8,520.0,0.105,44.0,288,6,2.08,2.01 (0.88-3.14),282,97.92,4.23 (4.03-4.43),3.54,4.71
oligodendrocyte progenitor cells 12,708.0,0.039,6.0,32,3,9.38,2.45 (0.30-4.59),29,90.62,3.34 (2.47-4.22),3.89,2.46
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,57.0,0.297,52.0,1,0,0.0,NA,1,100.0,NA,NA,1.69
astrocytes 15,443.0,0.128,34.0,9,6,66.67,3.73 (2.40-5.05),3,33.33,1.89 (-1.31-5.09),2.16,2.35
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,228.0,0.324,98.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40),NA,1.99
astrocytes microglia 23,96.0,0.273,27.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,787.0,0.141,32.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
