tipo_celular,module_size,NUP160_MM,NUP160_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,206.0,0.193,40.0,10,1,10.0,NA,9,90.0,1.83 (0.82-2.85),1.31,3.23
T cells 18,624.0,0.112,20.0,142,3,2.11,4.92 (4.14-5.70),139,97.89,3.17 (2.90-3.44),3.73,4.31
astrocytes 5,932.0,0.112,55.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,666.0,0.13,23.0,127,2,1.57,2.07 (2.05-2.09),125,98.43,3.87 (3.53-4.21),3.80,5.87
GABA neurons expressing GLU receptors 22,823.0,0.192,58.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23),2.12,3.48
GLU like neurons 17,1316.0,0.127,53.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42),1.94,3.07
da like neurons 11,853.0,0.101,28.0,133,18,13.53,1.48 (1.01-1.96),115,86.47,3.59 (3.27-3.91),4.97,4.03
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.157,72.0,297,12,4.04,4.96 (4.12-5.80),285,95.96,3.61 (3.40-3.82),3.26,5.61
oligodendrocytes 20,348.0,0.38,96.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,3052.0,0.106,22.0,125,4,3.2,5.30 (4.42-6.19),121,96.8,3.27 (2.95-3.60),1.77,8.84
astrocytes 8,1266.0,0.06,26.0,66,12,18.18,1.38 (0.71-2.05),54,81.82,3.72 (3.33-4.11),3.80,2.76
oligodendrocyte progenitor cells 12,3303.0,0.083,56.0,276,25,9.06,2.19 (1.71-2.67),251,90.94,3.72 (3.49-3.94),9.48,4.68
oligodendrocytes 10,2107.0,0.205,71.0,358,41,11.45,2.92 (2.24-3.59),317,88.55,4.03 (3.84-4.21),20.48,8.05
connective tissue cells 21,92.0,0.286,51.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.082,47.0,105,17,16.19,1.93 (1.31-2.54),88,83.81,3.49 (3.13-3.84),5.24,3.73
oligodendrocytes 16,91.0,0.202,45.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,83.0,0.303,47.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.17,83.0,61,2,3.28,4.52 (4.52-4.52),59,96.72,2.91 (2.49-3.33),1.59,6.17
oligodendrocytes 0,1186.0,0.148,56.0,300,3,1.0,2.67 (1.46-3.89),297,99.0,3.81 (3.60-4.01),2.89,4.17
microglia 1,958.0,0.116,57.0,290,20,6.9,4.51 (3.73-5.29),270,93.1,3.75 (3.51-3.99),6.11,4.92
oligodendrocytes 3,1003.0,0.083,36.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64),NA,4.23
oligodendrocytes 2,407.0,0.133,26.0,122,17,13.93,1.44 (0.95-1.92),105,86.07,3.74 (3.33-4.14),3.39,2.59
