tipo_celular,module_size,DDHD1_MM,DDHD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360,0.187,51.0,102,8,7.84,1.62 (0.98-2.26),94,92.16,3.67 (3.30-4.04),4.81,2.88
T cells 18,477,0.198,73.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53),NA,7.12
astrocytes 5,1141,0.159,84.0,166,4,2.41,1.77 (0.11-3.43),162,97.59,3.44 (3.19-3.69),3.40,4.58
oligodendrocyte progenitor cells 7,666,0.168,52.0,127,6,4.72,1.66 (0.86-2.46),121,95.28,4.00 (3.66-4.33),5.30,5.86
GABA neurons expressing GLU receptors 22,703,0.254,85.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82),1.75,4.03
GLU like neurons 17,1316,0.094,23.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41),2.99,3.05
da like neurons 11,145,0.098,14.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,288,0.108,15.0,93,10,10.75,2.77 (1.67-3.88),83,89.25,5.54 (5.05-6.02),3.94,3.95
endothelial cells 9,1653,0.114,40.0,297,3,1.01,3.96 (2.23-5.70),294,98.99,3.67 (3.46-3.88),3.54,5.54
oligodendrocytes 20,330,0.21,62.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27),NA,3.13
GABA like neurons 14,3052,0.139,51.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68),NA,8.61
astrocytes 8,771,0.106,44.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27),1.35,3.18
oligodendrocyte progenitor cells 12,3303,0.093,68.0,276,7,2.54,1.83 (0.99-2.66),269,97.46,3.60 (3.38-3.82),7.08,5.06
oligodendrocytes 10,2107,0.168,58.0,358,15,4.19,1.48 (1.01-1.95),343,95.81,4.00 (3.81-4.19),14.79,9.24
connective tissue cells 21,88,0.214,14.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768,0.084,48.0,105,6,5.71,1.45 (0.74-2.16),99,94.29,3.33 (2.99-3.67),5.00,3.92
oligodendrocytes 16,84,0.189,60.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,398,0.098,20.0,138,16,11.59,2.59 (1.73-3.45),122,88.41,5.18 (4.82-5.54),2.89,2.71
astrocytes microglia 23,140,0.162,0.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,787,0.142,35.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36),NA,5.75
oligodendrocytes 0,1186,0.164,82.0,300,4,1.33,4.47 (3.46-5.48),296,98.67,3.78 (3.57-3.99),5.38,4.14
microglia 1,346,0.124,32.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27),NA,4.48
oligodendrocytes 3,639,0.139,78.0,15,4,26.67,1.49 (0.44-2.54),11,73.33,4.12 (2.44-5.81),2.63,2.07
oligodendrocytes 2,804,0.2,90.0,84,7,8.33,1.88 (1.03-2.73),77,91.67,2.78 (2.43-3.14),2.86,3.44
