tipo_celular,module_size,C1orf52_MM,C1orf52_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.066,2.0,102,2,1.96,3.30 (2.61-3.99),100,98.04,3.50 (3.13-3.87),3.05,3.03
T cells 18,506.0,0.091,9.0,225,3,1.33,1.11 (0.53-1.69),222,98.67,3.66 (3.41-3.91),12.82,7.84
astrocytes 5,1656.0,0.159,98.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51),6.31,4.97
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,15,4.25,1.56 (0.97-2.14),338,95.75,4.03 (3.84-4.21),45.72,6.39
GABA neurons expressing GLU receptors 22,703.0,0.253,85.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88),1.58,4.03
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.161,43.0,410,2,0.49,1.88 (-0.73-4.50),408,99.51,4.26 (4.08-4.45),18.57,7.46
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.062,8.0,275,15,5.45,1.56 (0.97-2.14),260,94.55,4.16 (3.90-4.41),19.88,5.07
oligodendrocytes 20,330.0,0.157,44.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26),5.35,2.93
GABA like neurons 14,2402.0,0.192,39.0,455,15,3.3,1.56 (0.97-2.14),440,96.7,4.48 (4.29-4.66),27.27,8.21
astrocytes 8,520.0,0.08,30.0,288,2,0.69,1.88 (-0.73-4.50),286,99.31,4.19 (3.99-4.39),4.81,4.68
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,10,3.62,2.12 (1.51-2.73),266,96.38,3.61 (3.39-3.83),20.98,4.51
oligodendrocytes 10,806.0,0.055,9.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61),NA,6.07
connective tissue cells 21,91.0,0.368,85.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44),NA,2.51
astrocytes 15,458.0,0.047,16.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,51.0,0.258,68.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA),NA,21.90
da neurons 6,729.0,0.07,7.0,182,1,0.55,1.55 (NA-NA),181,99.45,3.65 (3.40-3.90),3.41,8.55
astrocytes microglia 23,126.0,0.253,13.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA),NA,1.67
astrocytes 4,1807.0,0.165,85.0,104,11,10.58,1.98 (1.36-2.60),93,89.42,2.98 (2.68-3.28),14.90,4.27
oligodendrocytes 0,613.0,0.122,26.0,127,2,1.57,3.30 (2.61-3.99),125,98.43,3.04 (2.62-3.47),7.41,6.26
microglia 1,958.0,0.077,6.0,290,1,0.34,3.22 (NA-NA),289,99.66,3.82 (3.59-4.05),22.95,4.94
oligodendrocytes 3,743.0,0.099,71.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55),NA,7.29
oligodendrocytes 2,921.0,0.149,70.0,200,1,0.5,3.22 (NA-NA),199,99.5,3.62 (3.36-3.89),13.88,3.41
