tipo_celular,module_size,RPS25_MM,RPS25_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.482,89.0,98,39,39.8,3.57 (2.91-4.24),59,60.2,2.89 (2.24-3.55),24.66,6.05
T cells 18,506.0,0.384,85.0,225,39,17.33,3.59 (2.92-4.25),186,82.67,3.62 (3.35-3.88),23.49,4.64
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,448.0,0.362,95.0,108,13,12.04,4.54 (3.68-5.41),95,87.96,3.01 (2.54-3.49),27.56,15.69
GABA neurons expressing GLU receptors 22,400.0,0.182,39.0,24,9,37.5,1.04 (0.34-1.73),15,62.5,2.83 (2.39-3.26),5.59,2.38
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.544,95.0,302,16,5.3,4.12 (3.20-5.04),286,94.7,3.97 (3.74-4.20),31.64,9.48
oligodendrocytes 20,938.0,0.179,73.0,169,27,15.98,3.36 (2.68-4.03),142,84.02,3.51 (3.28-3.73),13.79,3.76
GABA like neurons 14,2402.0,0.576,94.0,455,48,10.55,2.72 (2.18-3.26),407,89.45,4.59 (4.41-4.78),23.64,7.09
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.497,99.0,235,23,9.79,4.29 (3.65-4.92),212,90.21,3.77 (3.52-4.02),22.73,5.97
oligodendrocytes 10,483.0,0.37,88.0,129,20,15.5,4.66 (3.90-5.41),109,84.5,3.17 (2.75-3.60),30.93,17.03
connective tissue cells 21,301.0,0.418,61.0,158,20,12.66,3.59 (2.73-4.45),138,87.34,4.41 (4.01-4.81),27.79,4.06
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,113.0,0.281,88.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75),NA,1.88
da neurons 6,729.0,0.148,48.0,182,27,14.84,3.73 (2.95-4.52),155,85.16,3.62 (3.36-3.88),21.09,6.33
astrocytes microglia 23,137.0,0.427,73.0,188,47,25.0,3.12 (2.55-3.70),141,75.0,4.94 (4.57-5.30),18.34,3.41
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.26,82.0,252,50,19.84,2.96 (2.36-3.56),202,80.16,4.42 (4.18-4.67),20.79,5.10
microglia 1,406.0,0.525,91.0,278,12,4.32,4.12 (3.23-5.01),266,95.68,4.37 (4.09-4.66),42.36,5.13
oligodendrocytes 3,303.0,0.268,92.0,154,16,10.39,4.65 (3.82-5.48),138,89.61,3.48 (3.15-3.82),40.60,8.50
oligodendrocytes 2,526.0,0.37,79.0,213,10,4.69,4.40 (3.43-5.36),203,95.31,3.95 (3.67-4.24),42.85,6.22
