tipo_celular,module_size,VAV3_MM,VAV3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.334,90.0,59,1,1.69,NA,58,98.31,3.10 (2.60-3.61),1.44,5.41
astrocytes 5,932.0,0.102,41.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06),1.90,4.33
oligodendrocyte progenitor cells 7,200.0,0.149,37.0,16,4,25.0,4.45 (2.07-6.84),12,75.0,3.72 (2.99-4.44),1.57,5.19
GABA neurons expressing GLU receptors 22,823.0,0.203,66.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12),NA,3.42
GLU like neurons 17,795.0,0.071,10.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19),3.78,2.99
da like neurons 11,200.0,0.379,95.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,3052.0,0.142,53.0,125,1,0.8,3.04 (NA-NA),124,99.2,3.36 (3.03-3.68),4.61,8.65
astrocytes 8,1266.0,0.098,66.0,66,14,21.21,3.09 (2.16-4.03),52,78.79,3.27 (2.80-3.74),3.12,2.91
oligodendrocyte progenitor cells 12,411.0,0.048,21.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97),4.24,3.07
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,139.0,0.293,42.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78),NA,1.71
astrocytes 15,443.0,0.189,77.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88),3.96,2.00
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,518.0,0.144,80.0,122,10,8.2,1.85 (1.16-2.54),112,91.8,4.25 (3.85-4.64),5.20,3.33
astrocytes microglia 23,122.0,0.435,89.0,46,1,2.17,4.52 (NA-NA),45,97.83,5.04 (4.47-5.62),1.34,3.25
astrocytes 4,201.0,0.507,100.0,18,17,94.44,4.29 (3.50-5.08),1,5.56,8.28 (NA-NA),3.19,1.50
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
