tipo_celular,module_size,USP33_MM,USP33_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,401,0.215,81.0,19,1,5.26,4.44 (NA-NA),18,94.74,2.41 (1.69-3.14),1.66,3.42
T cells 18,282,0.045,1.0,241,4,1.66,2.77 (1.85-3.69),237,98.34,4.09 (3.83-4.34),2.53,4.37
astrocytes 5,1141,0.127,43.0,166,39,23.49,2.66 (2.26-3.07),127,76.51,3.64 (3.35-3.93),7.44,3.66
oligodendrocyte progenitor cells 7,4285,0.147,68.0,353,62,17.56,2.61 (2.21-3.01),291,82.44,4.21 (4.03-4.40),21.23,5.26
GABA neurons expressing GLU receptors 22,567,0.172,41.0,16,3,18.75,2.91 (1.29-4.54),13,81.25,1.72 (1.02-2.41),1.93,4.02
GLU like neurons 17,795,0.154,62.0,80,8,10.0,4.41 (4.25-4.56),72,90.0,5.75 (5.32-6.18),3.06,3.01
da like neurons 11,200,0.224,63.0,8,2,25.0,NA,6,75.0,NA,1.56,1.64
GABA neurons expressing GABA receptors 13,357,0.105,18.0,237,8,3.38,4.44 (3.12-5.76),229,96.62,4.41 (4.17-4.64),4.04,4.19
endothelial cells 9,1653,0.141,61.0,297,13,4.38,3.48 (2.85-4.12),284,95.62,3.68 (3.47-3.89),6.89,5.46
oligodendrocytes 20,348,0.152,56.0,33,3,9.09,3.12 (2.99-3.24),30,90.91,2.69 (2.15-3.23),3.76,3.34
GABA like neurons 14,1300,0.125,15.0,306,54,17.65,3.93 (3.34-4.52),252,82.35,5.43 (5.15-5.70),12.47,5.47
astrocytes 8,520,0.073,27.0,288,30,10.42,3.97 (3.29-4.65),258,89.58,4.20 (3.99-4.41),4.11,4.75
oligodendrocyte progenitor cells 12,3303,0.064,32.0,276,48,17.39,2.81 (2.40-3.23),228,82.61,3.73 (3.48-3.97),11.82,3.70
oligodendrocytes 10,2107,0.108,33.0,358,65,18.16,2.55 (2.14-2.97),293,81.84,4.22 (4.03-4.41),22.09,6.67
connective tissue cells 21,93,0.205,15.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.92
astrocytes 15,1401,0.109,71.0,96,14,14.58,3.32 (2.50-4.15),82,85.42,3.65 (3.15-4.15),4.93,3.60
oligodendrocytes 16,91,0.152,16.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,518,0.16,85.0,122,34,27.87,3.82 (2.92-4.73),88,72.13,4.07 (3.69-4.45),3.32,3.55
astrocytes microglia 23,122,0.149,4.0,46,1,2.17,5.24 (NA-NA),45,97.83,5.03 (4.45-5.60),2.53,3.23
astrocytes 4,752,0.14,30.0,96,10,10.42,3.75 (2.70-4.80),86,89.58,3.24 (2.89-3.58),2.88,4.49
oligodendrocytes 0,1186,0.178,92.0,300,13,4.33,3.54 (2.77-4.30),287,95.67,3.80 (3.59-4.01),3.27,4.20
microglia 1,1615,0.136,82.0,161,46,28.57,2.58 (2.09-3.07),115,71.43,3.61 (3.31-3.91),10.55,3.38
oligodendrocytes 3,1003,0.115,68.0,111,1,0.9,NA,110,99.1,3.30 (2.96-3.64),1.56,4.26
oligodendrocytes 2,921,0.132,41.0,200,6,3.0,2.73 (2.17-3.29),194,97.0,3.65 (3.38-3.92),5.47,3.40
