tipo_celular,module_size,THUMPD1_MM,THUMPD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,506.0,0.128,23.0,225,6,2.67,1.25 (0.96-1.54),219,97.33,3.70 (3.45-3.95),12.87,7.77
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.118,25.0,353,30,8.5,1.58 (1.24-1.93),323,91.5,4.18 (4.00-4.35),33.75,5.68
GABA neurons expressing GLU receptors 22,714.0,0.178,49.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,1316.0,0.082,14.0,101,2,1.98,2.91 (2.74-3.08),99,98.02,3.06 (2.70-3.41),2.86,3.06
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,385.0,0.099,47.0,275,28,10.18,1.58 (1.24-1.92),247,89.82,4.36 (4.11-4.61),17.69,4.54
oligodendrocytes 20,298.0,0.276,89.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA),NA,1.94
GABA like neurons 14,3052.0,0.162,70.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.051,17.0,276,24,8.7,1.88 (1.55-2.21),252,91.3,3.76 (3.53-3.98),14.70,4.20
oligodendrocytes 10,483.0,0.044,8.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,116.0,0.382,90.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,86.0,0.169,43.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.097,45.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,95.0,0.385,85.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56),NA,3.03
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.126,74.0,238,6,2.52,2.51 (1.16-3.86),232,97.48,3.67 (3.45-3.89),11.88,4.85
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,457.0,0.041,4.0,345,1,0.29,3.22 (NA-NA),344,99.71,4.28 (4.07-4.49),8.12,5.69
oligodendrocytes 2,1630.0,0.164,89.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
