tipo_celular,module_size,RBM25_MM,RBM25_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,218,0.139,10.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37),NA,4.25
T cells 18,610,0.111,19.0,98,28,28.57,1.64 (1.27-2.01),70,71.43,3.74 (3.43-4.05),7.17,2.78
astrocytes 5,1141,0.09,6.0,166,30,18.07,2.02 (1.61-2.43),136,81.93,3.73 (3.46-3.99),6.85,4.04
oligodendrocyte progenitor cells 7,4285,0.102,11.0,353,47,13.31,1.95 (1.63-2.27),306,86.69,4.26 (4.09-4.44),24.33,5.57
GABA neurons expressing GLU receptors 22,192,0.294,90.0,55,7,12.73,2.10 (1.82-2.39),48,87.27,4.30 (3.88-4.71),1.65,3.57
GLU like neurons 17,1247,0.224,90.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20),2.50,3.25
da like neurons 11,853,0.093,21.0,133,42,31.58,2.20 (1.73-2.67),91,68.42,3.83 (3.49-4.18),5.31,3.63
GABA neurons expressing GABA receptors 13,88,0.135,35.0,2,0,0.0,NA,2,100.0,NA,NA,1.67
endothelial cells 9,1653,0.093,22.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88),NA,5.52
oligodendrocytes 20,330,0.14,36.0,36,17,47.22,2.02 (1.78-2.26),19,52.78,1.83 (1.21-2.46),2.50,3.69
GABA like neurons 14,1300,0.287,84.0,306,5,1.63,0.97 (0.42-1.52),301,98.37,5.19 (4.94-5.45),5.88,6.72
astrocytes 8,1266,0.053,17.0,66,12,18.18,1.48 (0.82-2.14),54,81.82,3.69 (3.29-4.10),4.61,2.58
oligodendrocyte progenitor cells 12,3303,0.101,76.0,276,36,13.04,1.89 (1.64-2.14),240,86.96,3.86 (3.63-4.09),10.90,4.24
oligodendrocytes 10,2107,0.238,80.0,358,53,14.8,2.15 (1.73-2.57),305,85.2,4.26 (4.08-4.44),27.95,6.26
connective tissue cells 21,90,0.194,4.0,3,3,100.0,2.29 (2.29-2.29),0,0.0,NA,1.41,NA
astrocytes 15,1768,0.128,83.0,105,28,26.67,2.31 (1.72-2.91),77,73.33,3.52 (3.15-3.90),5.81,3.31
oligodendrocytes 16,74,0.132,16.0,1,0,0.0,NA,1,100.0,NA,NA,1.34
da neurons 6,518,0.155,83.0,122,9,7.38,1.43 (0.44-2.43),113,92.62,4.20 (3.81-4.58),3.41,3.49
astrocytes microglia 23,255,0.283,69.0,57,1,1.75,1.92 (NA-NA),56,98.25,2.67 (2.30-3.03),1.45,3.37
astrocytes 4,752,0.137,27.0,96,3,3.12,1.97 (1.86-2.07),93,96.88,3.34 (3.01-3.68),2.11,4.39
oligodendrocytes 0,1186,0.135,33.0,300,1,0.33,6.89 (NA-NA),299,99.67,3.78 (3.58-3.98),2.12,4.16
microglia 1,813,0.06,1.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,357,0.258,96.0,127,7,5.51,3.73 (2.48-4.98),120,94.49,3.08 (2.74-3.42),7.28,4.06
oligodendrocytes 2,804,0.132,25.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09),3.31,3.40
