tipo_celular,module_size,WDR35_MM,WDR35_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.092,16.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.142,61.0,353,33,9.35,2.36 (1.81-2.91),320,90.65,4.07 (3.88-4.26),18.28,7.01
GABA neurons expressing GLU receptors 22,567.0,0.18,46.0,16,5,31.25,2.88 (1.99-3.78),11,68.75,1.47 (0.71-2.22),1.73,4.50
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,61.0,0.264,40.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA),NA,2.54
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,253.0,0.055,14.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80),NA,5.94
GABA like neurons 14,3052.0,0.131,42.0,125,8,6.4,4.34 (3.93-4.76),117,93.6,3.31 (2.98-3.64),2.96,9.00
astrocytes 8,603.0,0.063,38.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11),NA,6.04
oligodendrocyte progenitor cells 12,3303.0,0.093,68.0,276,22,7.97,2.92 (2.29-3.55),254,92.03,3.60 (3.37-3.83),7.58,4.90
oligodendrocytes 10,2107.0,0.033,2.0,358,25,6.98,1.95 (1.42-2.48),333,93.02,4.04 (3.85-4.23),17.94,8.84
connective tissue cells 21,86.0,0.341,84.0,7,2,28.57,4.47 (3.98-4.97),5,71.43,2.70 (2.17-3.23),1.52,1.47
astrocytes 15,458.0,0.143,72.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85),NA,2.57
oligodendrocytes 16,84.0,0.17,41.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50),NA,2.06
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,124.0,0.274,25.0,1,0,0.0,NA,1,100.0,4.05 (NA-NA),NA,1.36
astrocytes 4,787.0,0.175,89.0,65,10,15.38,4.27 (3.68-4.86),55,84.62,2.79 (2.37-3.20),2.54,6.33
oligodendrocytes 0,2078.0,0.104,30.0,238,5,2.1,1.79 (0.71-2.87),233,97.9,3.67 (3.45-3.89),8.49,4.95
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.072,27.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,1630.0,0.135,35.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
