tipo_celular,module_size,SH3PXD2B_MM,SH3PXD2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,360.0,0.329,87.0,102,6,5.88,2.43 (1.34-3.53),96,94.12,3.57 (3.19-3.95),3.89,2.98
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.137,83.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,200.0,0.194,59.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74),NA,4.29
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.065,8.0,135,9,6.67,2.49 (1.56-3.42),126,93.33,3.25 (2.93-3.57),2.99,3.80
da like neurons 11,408.0,0.196,56.0,25,4,16.0,1.42 (0.66-2.18),21,84.0,5.41 (4.04-6.79),2.40,2.25
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,279.0,0.245,62.0,16,1,6.25,3.48 (NA-NA),15,93.75,2.30 (1.52-3.09),1.81,3.59
GABA like neurons 14,2090.0,0.162,57.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.124,80.0,66,14,21.21,2.06 (1.31-2.81),52,78.79,3.61 (3.16-4.05),3.39,2.83
oligodendrocyte progenitor cells 12,708.0,0.125,56.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08),1.92,2.59
oligodendrocytes 10,1277.0,0.123,60.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,147.0,0.256,63.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,1401.0,0.133,83.0,96,9,9.38,3.23 (2.10-4.37),87,90.62,3.66 (3.18-4.15),5.49,3.62
oligodendrocytes 16,82.0,0.192,67.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.232,26.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,201.0,0.214,76.0,18,2,11.11,4.01 (3.12-4.91),16,88.89,4.61 (3.61-5.62),2.69,3.15
oligodendrocytes 0,187.0,0.165,50.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14),NA,2.49
microglia 1,813.0,0.238,97.0,79,2,2.53,NA,77,97.47,3.10 (2.70-3.50),1.58,8.07
oligodendrocytes 3,854.0,0.141,89.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14),2.96,4.74
oligodendrocytes 2,131.0,0.173,44.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25),NA,3.82
