tipo_celular,module_size,MOB2_MM,MOB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.121,29.0,241,2,0.83,3.48 (3.47-3.49),239,99.17,4.06 (3.81-4.32),1.46,4.36
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.098,9.0,353,29,8.22,1.75 (1.33-2.16),324,91.78,4.14 (3.97-4.32),32.03,5.92
GABA neurons expressing GLU receptors 22,714.0,0.087,4.0,17,5,29.41,2.70 (2.17-3.23),12,70.59,2.15 (1.35-2.94),2.48,4.02
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,916.0,0.113,19.0,302,1,0.33,0.21 (NA-NA),301,99.67,4.00 (3.77-4.22),5.10,10.67
oligodendrocytes 20,275.0,0.194,48.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,3052.0,0.069,5.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,3303.0,0.082,54.0,276,27,9.78,2.11 (1.75-2.48),249,90.22,3.75 (3.52-3.98),13.20,4.23
oligodendrocytes 10,1277.0,0.034,4.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,92.0,0.249,72.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,67.0,0.399,88.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.108,38.0,238,5,2.1,2.34 (1.28-3.40),233,97.9,3.67 (3.45-3.89),5.99,5.00
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,681.0,0.082,37.0,87,21,24.14,1.81 (1.41-2.20),66,75.86,2.86 (2.55-3.17),7.10,3.33
oligodendrocytes 2,1630.0,0.133,31.0,154,2,1.3,3.56 (1.90-5.21),152,98.7,3.24 (2.97-3.51),1.75,3.62
