tipo_celular,module_size,CHMP4B_MM,CHMP4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.147,42.0,97,2,2.06,2.56 (1.98-3.14),95,97.94,3.07 (2.67-3.47),3.43,4.94
T cells 18,393.0,0.103,14.0,59,5,8.47,3.79 (3.34-4.25),54,91.53,3.03 (2.49-3.58),3.44,5.52
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,4285.0,0.09,5.0,353,66,18.7,2.92 (2.53-3.30),287,81.3,4.20 (4.01-4.40),16.54,6.11
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,108.0,0.123,18.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15),NA,3.13
GABA neurons expressing GABA receptors 13,77.0,0.305,100.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85),NA,1.97
endothelial cells 9,916.0,0.091,12.0,302,17,5.63,3.85 (2.79-4.92),285,94.37,3.99 (3.76-4.22),7.50,10.84
oligodendrocytes 20,403.0,0.113,47.0,18,12,66.67,1.47 (0.66-2.29),6,33.33,2.69 (1.68-3.69),4.19,2.99
GABA like neurons 14,2402.0,0.197,40.0,455,84,18.46,3.52 (3.16-3.88),371,81.54,4.61 (4.40-4.82),15.01,7.44
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.037,7.0,235,24,10.21,4.30 (3.66-4.94),211,89.79,3.77 (3.52-4.01),6.28,7.77
oligodendrocytes 10,735.0,0.117,61.0,277,7,2.53,5.11 (4.37-5.86),270,97.47,3.86 (3.62-4.11),1.96,9.13
connective tissue cells 21,100.0,0.294,52.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,65.0,0.162,33.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,553.0,0.074,8.0,124,9,7.26,4.54 (3.08-5.99),115,92.74,4.14 (3.73-4.55),2.45,3.08
astrocytes microglia 23,101.0,0.239,8.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.087,7.0,238,21,8.82,4.18 (3.43-4.93),217,91.18,3.58 (3.35-3.81),5.24,5.00
microglia 1,480.0,0.191,51.0,163,4,2.45,4.72 (3.59-5.84),159,97.55,3.68 (3.41-3.95),1.95,5.25
oligodendrocytes 3,457.0,0.093,36.0,345,81,23.48,4.06 (3.76-4.36),264,76.52,4.37 (4.10-4.64),8.54,4.82
oligodendrocytes 2,1630.0,0.125,19.0,154,1,0.65,2.12 (NA-NA),153,99.35,3.25 (2.99-3.52),2.69,3.60
