tipo_celular,module_size,LRRC4B_MM,LRRC4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.144,89.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,4285.0,0.102,11.0,353,11,3.12,2.57 (1.54-3.59),342,96.88,3.94 (3.76-4.13),9.29,8.02
GABA neurons expressing GLU receptors 22,1069.0,0.185,64.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,685.0,0.134,53.0,135,7,5.19,1.97 (0.54-3.41),128,94.81,3.27 (2.96-3.58),2.85,3.80
da like neurons 11,853.0,0.149,62.0,133,3,2.26,1.95 (0.11-3.78),130,97.74,3.29 (2.97-3.61),2.29,4.21
GABA neurons expressing GABA receptors 13,93.0,0.112,15.0,2,0,0.0,NA,2,100.0,NA,NA,2.07
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,271.0,0.128,26.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99),NA,3.42
GABA like neurons 14,2090.0,0.207,82.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.112,73.0,66,9,13.64,2.52 (1.54-3.50),57,86.36,3.36 (2.90-3.82),3.25,2.91
oligodendrocyte progenitor cells 12,3303.0,0.073,43.0,276,11,3.99,2.86 (1.77-3.96),265,96.01,3.58 (3.36-3.80),4.61,5.13
oligodendrocytes 10,806.0,0.145,45.0,261,8,3.07,4.21 (3.08-5.34),253,96.93,4.37 (4.12-4.62),5.60,6.08
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,208.0,0.073,41.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81),3.98,2.43
oligodendrocytes 16,158.0,0.148,13.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02),1.50,12.39
da neurons 6,307.0,0.113,43.0,95,1,1.05,2.92 (NA-NA),94,98.95,4.87 (4.43-5.31),2.35,3.37
astrocytes microglia 23,135.0,0.326,56.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,251.0,0.186,64.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86),NA,3.07
oligodendrocytes 0,309.0,0.111,26.0,30,2,6.67,NA,28,93.33,6.09 (5.49-6.69),2.20,2.92
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,242.0,0.136,55.0,6,2,33.33,7.24 (5.20-9.28),4,66.67,5.36 (5.10-5.61),1.74,2.20
oligodendrocytes 2,131.0,0.166,37.0,20,1,5.0,6.20 (NA-NA),19,95.0,4.40 (3.65-5.15),1.71,3.93
