tipo_celular,module_size,TMEM38A_MM,TMEM38A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,932.0,0.188,99.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08),NA,4.30
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,400.0,0.146,20.0,24,9,37.5,1.09 (0.48-1.70),15,62.5,2.80 (2.29-3.30),5.28,2.56
GLU like neurons 17,1247.0,0.191,80.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.129,49.0,133,5,3.76,0.61 (0.32-0.89),128,96.24,3.38 (3.07-3.68),8.25,4.00
GABA neurons expressing GABA receptors 13,357.0,0.128,31.0,237,1,0.42,3.37 (NA-NA),236,99.58,4.41 (4.18-4.65),1.67,4.19
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,2090.0,0.21,83.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,1266.0,0.231,97.0,66,6,9.09,0.66 (0.40-0.92),60,90.91,3.53 (3.14-3.92),3.87,2.86
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.185,95.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,448.0,0.088,33.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80),NA,3.47
astrocytes microglia 23,58.0,0.462,100.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.203,68.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
