tipo_celular,module_size,METTL6_MM,METTL6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.062,4.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31),NA,4.34
astrocytes 5,1656.0,0.076,4.0,136,7,5.15,2.78 (1.52-4.05),129,94.85,3.23 (2.96-3.51),6.95,4.88
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,28,7.93,1.65 (1.16-2.14),325,92.07,4.14 (3.96-4.31),28.87,6.27
GABA neurons expressing GLU receptors 22,714.0,0.065,1.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,1247.0,0.154,65.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,289.0,0.166,41.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24),NA,2.16
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,938.0,0.067,21.0,169,4,2.37,0.69 (0.05-1.34),165,97.63,3.54 (3.33-3.75),3.82,5.40
GABA like neurons 14,2090.0,0.262,96.0,74,6,8.11,1.97 (1.61-2.33),68,91.89,3.04 (2.64-3.45),4.04,11.07
astrocytes 8,354.0,0.1,37.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,3303.0,0.075,46.0,276,18,6.52,1.86 (1.36-2.35),258,93.48,3.70 (3.48-3.92),10.99,4.70
oligodendrocytes 10,1277.0,0.051,12.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1768.0,0.073,37.0,105,14,13.33,1.56 (1.09-2.03),91,86.67,3.49 (3.14-3.84),5.40,3.76
oligodendrocytes 16,91.0,0.214,62.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49),NA,4.52
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,110.0,0.368,82.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.138,37.0,104,20,19.23,1.58 (1.23-1.94),84,80.77,3.20 (2.90-3.50),8.88,4.57
oligodendrocytes 0,2078.0,0.111,43.0,238,10,4.2,3.06 (2.02-4.10),228,95.8,3.67 (3.44-3.89),9.34,4.83
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,357.0,0.081,38.0,127,2,1.57,2.83 (NA-NA),125,98.43,3.12 (2.79-3.46),5.00,4.22
oligodendrocytes 2,1630.0,0.136,38.0,154,2,1.3,5.16 (NA-NA),152,98.7,3.23 (2.96-3.50),1.76,3.62
