tipo_celular,module_size,ABCA1_MM,ABCA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,500.0,0.389,96.0,32,5,15.62,5.33 (3.43-7.23),27,84.38,3.36 (2.56-4.15),2.26,3.86
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,222.0,0.065,1.0,98,6,6.12,3.35 (1.45-5.25),92,93.88,4.70 (4.29-5.10),2.96,2.63
oligodendrocyte progenitor cells 7,200.0,0.216,68.0,16,3,18.75,4.22 (0.91-7.52),13,81.25,3.85 (3.15-4.55),1.61,4.90
GABA neurons expressing GLU receptors 22,599.0,0.34,93.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13),1.47,4.07
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,145.0,0.173,36.0,1,0,0.0,NA,1,100.0,NA,NA,1.63
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.228,96.0,297,3,1.01,3.56 (NA-NA),294,98.99,3.67 (3.47-3.88),2.71,5.55
oligodendrocytes 20,295.0,0.366,90.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65),NA,3.07
GABA like neurons 14,3052.0,0.088,11.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68),1.60,8.67
astrocytes 8,279.0,0.202,21.0,78,21,26.92,2.77 (2.39-3.14),57,73.08,4.97 (4.52-5.42),3.07,2.58
oligodendrocyte progenitor cells 12,3303.0,0.127,92.0,276,36,13.04,2.76 (2.39-3.14),240,86.96,3.70 (3.46-3.95),6.88,4.84
oligodendrocytes 10,2107.0,0.133,44.0,358,40,11.17,2.12 (1.69-2.55),318,88.83,4.14 (3.95-4.33),15.69,8.69
connective tissue cells 21,114.0,0.337,79.0,19,9,47.37,3.57 (3.10-4.04),10,52.63,6.08 (5.51-6.65),1.95,2.27
astrocytes 15,1401.0,0.124,79.0,96,11,11.46,3.15 (2.30-4.01),85,88.54,3.67 (3.18-4.17),3.28,3.86
oligodendrocytes 16,81.0,0.147,12.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21),NA,1.56
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,59.0,0.266,28.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.149,30.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,1186.0,0.164,81.0,300,15,5.0,3.51 (2.96-4.07),285,95.0,3.81 (3.59-4.02),4.15,4.16
microglia 1,346.0,0.318,93.0,43,6,13.95,4.31 (3.41-5.22),37,86.05,3.66 (3.08-4.24),3.25,4.68
oligodendrocytes 3,94.0,0.127,64.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73),NA,3.83
oligodendrocytes 2,348.0,0.167,36.0,114,12,10.53,3.69 (2.59-4.79),102,89.47,5.34 (4.92-5.76),4.09,4.43
