tipo_celular,module_size,PGM3_MM,PGM3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,666.0,0.174,56.0,127,2,1.57,3.48 (3.47-3.49),125,98.43,3.84 (3.49-4.19),4.33,5.86
GABA neurons expressing GLU receptors 22,823.0,0.113,13.0,23,3,13.04,2.38 (1.03-3.73),20,86.96,2.40 (1.55-3.24),1.82,3.66
GLU like neurons 17,1316.0,0.133,58.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42),3.30,3.05
da like neurons 11,77.0,0.15,29.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56),NA,7.10
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,403.0,0.034,6.0,18,4,22.22,1.31 (0.51-2.11),14,77.78,2.04 (1.21-2.87),3.37,3.91
GABA like neurons 14,3052.0,0.181,83.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68),5.38,8.64
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,708.0,0.112,52.0,32,2,6.25,1.89 (-1.31-5.09),30,93.75,3.35 (2.51-4.19),4.85,2.45
oligodendrocytes 10,483.0,0.056,13.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82),NA,19.19
connective tissue cells 21,100.0,0.322,63.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,64.0,0.136,20.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,116.0,0.4,93.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80),NA,2.32
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,2078.0,0.162,100.0,238,5,2.1,2.06 (0.98-3.14),233,97.9,3.68 (3.45-3.90),11.94,4.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.09,49.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,1630.0,0.169,93.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
