tipo_celular,module_size,CEP164_MM,CEP164_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,610.0,0.027,0.0,98,17,17.35,1.58 (1.01-2.14),81,82.65,3.49 (3.18-3.80),10.37,2.71
astrocytes 5,1141.0,0.079,2.0,166,17,10.24,2.08 (1.52-2.65),149,89.76,3.55 (3.29-3.81),9.44,3.99
oligodendrocyte progenitor cells 7,4285.0,0.135,50.0,353,29,8.22,1.86 (1.40-2.33),324,91.78,4.11 (3.93-4.29),29.76,6.12
GABA neurons expressing GLU receptors 22,1069.0,0.115,17.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61),NA,3.10
GLU like neurons 17,1247.0,0.164,69.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.088,16.0,133,14,10.53,1.62 (1.02-2.22),119,89.47,3.49 (3.16-3.81),5.34,4.02
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,348.0,0.294,90.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22),NA,3.38
GABA like neurons 14,2090.0,0.242,93.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32),NA,10.50
astrocytes 8,354.0,0.02,0.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47),NA,5.07
oligodendrocyte progenitor cells 12,708.0,0.021,1.0,32,8,25.0,1.14 (0.35-1.92),24,75.0,4.09 (3.25-4.93),3.90,2.16
oligodendrocytes 10,1277.0,0.111,52.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,116.0,0.231,21.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68),NA,1.74
astrocytes 15,1401.0,0.074,38.0,96,8,8.33,3.08 (2.27-3.88),88,91.67,3.67 (3.18-4.16),5.32,3.66
oligodendrocytes 16,71.0,0.272,79.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA,1.65,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,37.0,0.311,31.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,721.0,0.14,27.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44),2.87,6.18
oligodendrocytes 0,479.0,0.109,13.0,40,2,5.0,4.12 (4.12-4.12),38,95.0,5.98 (5.45-6.50),2.08,3.54
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,639.0,0.103,56.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13),2.83,1.91
oligodendrocytes 2,804.0,0.124,17.0,84,12,14.29,2.29 (1.36-3.23),72,85.71,2.76 (2.40-3.12),2.36,3.57
