tipo_celular,module_size,ZFYVE28_MM,ZFYVE28_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,388.0,0.281,90.0,84,1,1.19,3.61 (NA-NA),83,98.81,2.97 (2.63-3.30),1.31,4.36
astrocytes 5,322.0,0.43,97.0,58,9,15.52,3.38 (2.21-4.55),49,84.48,4.35 (3.92-4.79),2.14,2.35
oligodendrocyte progenitor cells 7,4285.0,0.135,49.0,353,28,7.93,1.90 (1.44-2.37),325,92.07,4.12 (3.94-4.30),24.08,6.68
GABA neurons expressing GLU receptors 22,459.0,0.207,68.0,165,8,4.85,2.12 (1.36-2.88),157,95.15,5.29 (4.96-5.62),3.28,4.13
GLU like neurons 17,1247.0,0.186,78.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20),NA,3.24
da like neurons 11,853.0,0.168,72.0,133,16,12.03,1.67 (1.06-2.29),117,87.97,3.52 (3.19-3.84),6.72,3.81
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,658.0,0.304,79.0,120,24,20.0,3.66 (3.18-4.14),96,80.0,4.89 (4.53-5.25),4.37,3.47
oligodendrocytes 20,322.0,0.148,62.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43),NA,5.13
GABA like neurons 14,1300.0,0.284,83.0,306,20,6.54,2.79 (2.09-3.48),286,93.46,5.34 (5.08-5.60),4.33,6.87
astrocytes 8,727.0,0.19,86.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.083,57.0,276,19,6.88,2.17 (1.66-2.67),257,93.12,3.68 (3.45-3.90),9.06,4.82
oligodendrocytes 10,1277.0,0.088,37.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27),NA,6.37
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,1401.0,0.344,100.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09),1.43,3.85
oligodendrocytes 16,112.0,0.257,97.0,1,0,0.0,NA,1,100.0,NA,NA,1.31
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,91.0,0.307,68.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA),NA,6.41
astrocytes 4,171.0,0.259,85.0,22,1,4.55,2.54 (NA-NA),21,95.45,4.67 (3.72-5.61),1.65,2.03
oligodendrocytes 0,2078.0,0.118,57.0,238,5,2.1,2.76 (1.47-4.04),233,97.9,3.66 (3.44-3.88),6.41,4.99
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.198,99.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14),4.05,4.75
oligodendrocytes 2,407.0,0.161,58.0,122,20,16.39,1.56 (1.05-2.07),102,83.61,3.80 (3.39-4.21),3.38,2.57
