tipo_celular,module_size,RPS5_MM,RPS5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,185.0,0.372,74.0,98,41,41.84,3.11 (2.53-3.70),57,58.16,3.28 (2.59-3.98),24.27,5.68
T cells 18,506.0,0.475,93.0,225,48,21.33,3.30 (2.79-3.81),177,78.67,3.70 (3.41-3.98),21.93,4.10
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.138,33.0,213,58,27.23,2.75 (2.27-3.22),155,72.77,4.17 (3.92-4.42),10.61,9.34
endothelial cells 9,916.0,0.514,93.0,302,23,7.62,3.69 (2.82-4.56),279,92.38,4.00 (3.77-4.24),24.58,9.50
oligodendrocytes 20,233.0,0.215,63.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37),NA,2.11
GABA like neurons 14,2402.0,0.478,87.0,455,60,13.19,2.73 (2.25-3.20),395,86.81,4.62 (4.44-4.80),20.68,7.04
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 10,483.0,0.51,97.0,129,27,20.93,4.31 (3.80-4.82),102,79.07,3.20 (2.74-3.67),27.08,17.10
connective tissue cells 21,301.0,0.487,78.0,158,25,15.82,3.37 (2.62-4.13),133,84.18,4.46 (4.05-4.86),23.18,4.04
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,121.0,0.203,45.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89),NA,1.91
da neurons 6,729.0,0.177,63.0,182,30,16.48,3.39 (2.74-4.04),152,83.52,3.68 (3.41-3.96),19.79,6.30
astrocytes microglia 23,137.0,0.319,33.0,188,45,23.94,2.69 (2.19-3.19),143,76.06,5.02 (4.67-5.37),18.93,3.44
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,546.0,0.239,77.0,252,56,22.22,2.67 (2.18-3.16),196,77.78,4.52 (4.27-4.77),20.09,4.82
microglia 1,406.0,0.41,79.0,278,18,6.47,4.10 (3.46-4.75),260,93.53,4.38 (4.09-4.67),31.02,5.06
oligodendrocytes 3,303.0,0.207,74.0,154,20,12.99,4.25 (3.57-4.93),134,87.01,3.54 (3.19-3.88),35.58,8.30
oligodendrocytes 2,526.0,0.368,78.0,213,16,7.51,4.16 (3.43-4.88),197,92.49,3.97 (3.68-4.26),28.53,6.26
