tipo_celular,module_size,NOL7_MM,NOL7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,181.0,0.265,83.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07),NA,4.68
T cells 18,506.0,0.1,12.0,225,19,8.44,3.10 (2.03-4.17),206,91.56,3.67 (3.42-3.92),12.85,7.45
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 7,628.0,0.157,44.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41),NA,7.53
GABA neurons expressing GLU receptors 22,567.0,0.068,4.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70),1.72,3.76
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,417.0,0.141,36.0,213,27,12.68,1.98 (1.28-2.68),186,87.32,4.08 (3.86-4.30),8.29,9.89
endothelial cells 9,916.0,0.129,25.0,302,9,2.98,4.31 (2.14-6.48),293,97.02,3.97 (3.75-4.19),13.56,10.56
oligodendrocytes 20,275.0,0.141,27.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29),NA,4.30
GABA like neurons 14,2402.0,0.29,64.0,455,33,7.25,2.32 (1.61-3.02),422,92.75,4.55 (4.38-4.73),20.48,7.92
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocyte progenitor cells 12,1049.0,0.083,44.0,235,9,3.83,5.34 (4.06-6.62),226,96.17,3.76 (3.53-4.00),10.25,7.51
oligodendrocytes 10,735.0,0.122,65.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14),NA,8.95
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 16,61.0,0.161,29.0,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,729.0,0.098,22.0,182,18,9.89,3.70 (2.56-4.83),164,90.11,3.63 (3.38-3.88),9.08,8.46
astrocytes microglia 23,96.0,0.323,53.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 0,613.0,0.129,37.0,127,6,4.72,1.81 (1.27-2.35),121,95.28,3.15 (2.71-3.59),3.71,6.40
microglia 1,406.0,0.097,14.0,278,3,1.08,7.18 (NA-NA),275,98.92,4.35 (4.07-4.62),12.29,6.68
oligodendrocytes 3,743.0,0.087,58.0,76,1,1.32,2.44 (NA-NA),75,98.68,3.17 (2.77-3.57),1.44,7.37
oligodendrocytes 2,528.0,0.217,59.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73),NA,4.62
