tipo_celular,module_size,RNF214_MM,RNF214_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,349.0,0.069,7.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93),NA,3.31
astrocytes 5,1656.0,0.122,61.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48),NA,4.99
oligodendrocyte progenitor cells 7,4285.0,0.16,86.0,353,7,1.98,2.99 (2.53-3.46),346,98.02,3.90 (3.71-4.09),13.79,7.95
GABA neurons expressing GLU receptors 22,714.0,0.136,23.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91),2.01,3.66
GLU like neurons 17,795.0,0.05,2.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,853.0,0.086,15.0,133,1,0.75,3.22 (NA-NA),132,99.25,3.25 (2.94-3.57),1.65,4.18
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,676.0,0.051,23.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,3052.0,0.151,60.0,125,4,3.2,3.56 (NA-NA),121,96.8,3.35 (3.02-3.68),3.86,8.77
astrocytes 8,1266.0,0.035,4.0,66,2,3.03,2.95 (2.42-3.48),64,96.97,3.24 (2.80-3.67),1.82,2.99
oligodendrocyte progenitor cells 12,708.0,0.057,20.0,32,1,3.12,3.56 (NA-NA),31,96.88,3.23 (2.40-4.07),1.98,2.62
oligodendrocytes 10,2107.0,0.011,0.0,358,7,1.96,2.99 (2.53-3.46),351,98.04,3.87 (3.68-4.07),16.46,9.33
connective tissue cells 21,95.0,0.401,95.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59),NA,1.71
astrocytes 15,1401.0,0.032,5.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06),NA,3.80
oligodendrocytes 16,94.0,0.269,83.0,5,0,0.0,NA,5,100.0,2.89 (1.71-4.06),NA,1.87
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,132.0,0.365,68.0,1,0,0.0,NA,1,100.0,NA,NA,2.03
astrocytes 4,1807.0,0.152,63.0,104,3,2.88,2.81 (2.40-3.22),101,97.12,2.86 (2.57-3.15),5.87,5.38
oligodendrocytes 0,2078.0,0.095,15.0,238,7,2.94,2.99 (2.53-3.46),231,97.06,3.65 (3.42-3.87),4.96,5.02
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.05,7.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11),NA,4.72
oligodendrocytes 2,1630.0,0.132,30.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51),NA,3.59
