tipo_celular,module_size,C1orf21_MM,C1orf21_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,393.0,0.466,98.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61),NA,5.34
astrocytes 5,118.0,0.287,95.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94),NA,2.01
oligodendrocyte progenitor cells 7,436.0,0.067,11.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50),NA,4.61
GABA neurons expressing GLU receptors 22,203.0,0.107,5.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97),NA,3.80
GLU like neurons 17,795.0,0.233,83.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09),NA,3.01
da like neurons 11,142.0,0.47,96.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA),NA,1.71
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA like neurons 14,1300.0,0.136,19.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37),2.69,6.72
astrocytes 8,279.0,0.237,33.0,78,0,0.0,NA,78,100.0,4.31 (3.90-4.73),NA,2.71
oligodendrocyte progenitor cells 12,254.0,0.297,55.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08),NA,2.47
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 15,268.0,0.344,95.0,10,0,0.0,NA,10,100.0,3.69 (2.00-5.38),NA,1.59
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,166.0,0.278,47.0,7,0,0.0,NA,7,100.0,4.32 (3.39-5.25),NA,4.49
astrocytes 4,255.0,0.228,80.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
