tipo_celular,module_size,FKBP5_MM,FKBP5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,395.0,0.282,93.0,97,3,3.09,5.25 (1.98-8.52),94,96.91,2.97 (2.59-3.35),3.24,4.96
T cells 18,388.0,0.148,48.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30),NA,4.32
astrocytes 5,222.0,0.291,81.0,98,0,0.0,NA,98,100.0,4.60 (4.19-5.00),NA,2.65
oligodendrocyte progenitor cells 7,448.0,0.124,36.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69),NA,17.12
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GLU like neurons 17,685.0,0.494,99.0,135,16,11.85,1.36 (0.98-1.74),119,88.15,3.40 (3.09-3.72),5.59,3.50
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,1653.0,0.244,98.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88),5.50,5.52
oligodendrocytes 20,676.0,0.205,43.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44),NA,3.52
GABA like neurons 14,1300.0,0.054,4.0,306,5,1.63,2.04 (0.83-3.24),301,98.37,5.17 (4.91-5.43),4.19,6.75
astrocytes 8,262.0,0.286,95.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74),NA,4.83
oligodendrocyte progenitor cells 12,153.0,0.347,30.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92),1.35,2.18
oligodendrocytes 10,2107.0,0.409,98.0,358,26,7.26,1.53 (1.13-1.93),332,92.74,4.11 (3.93-4.30),40.66,7.03
connective tissue cells 21,147.0,0.374,95.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80),NA,3.67
astrocytes 15,418.0,0.284,69.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17),4.84,2.98
oligodendrocytes 16,108.0,0.196,61.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00),NA,2.53
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,59.0,0.369,80.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,255.0,0.357,99.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48),NA,2.33
oligodendrocytes 0,613.0,0.348,100.0,127,7,5.51,2.80 (1.38-4.21),120,94.49,3.07 (2.63-3.50),5.32,6.33
microglia 1,813.0,0.205,93.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50),NA,7.90
oligodendrocytes 3,681.0,0.339,100.0,87,18,20.69,1.70 (1.25-2.16),69,79.31,2.84 (2.54-3.14),7.52,3.39
oligodendrocytes 2,921.0,0.275,100.0,200,2,1.0,1.64 (1.01-2.27),198,99.0,3.65 (3.38-3.91),5.80,3.44
