tipo_celular,module_size,ERLEC1_MM,ERLEC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,282.0,0.178,57.0,241,2,0.83,4.52 (3.25-5.78),239,99.17,4.05 (3.80-4.30),2.89,4.35
astrocytes 5,1656.0,0.151,95.0,136,3,2.21,3.07 (1.98-4.16),133,97.79,3.21 (2.94-3.49),3.09,5.03
oligodendrocyte progenitor cells 7,628.0,0.101,7.0,164,2,1.22,5.17 (2.38-7.97),162,98.78,4.07 (3.74-4.40),9.87,7.50
GABA neurons expressing GLU receptors 22,487.0,0.33,82.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14),NA,7.33
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
da like neurons 11,1220.0,0.084,8.0,410,24,5.85,3.80 (3.17-4.42),386,94.15,4.29 (4.09-4.48),10.70,7.32
GABA neurons expressing GABA receptors 13,265.0,0.17,57.0,78,9,11.54,3.84 (2.71-4.97),69,88.46,4.45 (4.01-4.89),4.67,4.21
endothelial cells 9,916.0,0.081,8.0,302,4,1.32,2.42 (0.84-4.01),298,98.68,4.01 (3.78-4.24),5.74,10.72
oligodendrocytes 20,938.0,0.127,51.0,169,16,9.47,3.08 (2.44-3.73),153,90.53,3.53 (3.30-3.77),4.47,5.46
GABA like neurons 14,2402.0,0.45,84.0,455,41,9.01,3.30 (2.66-3.94),414,90.99,4.49 (4.30-4.68),18.75,7.85
astrocytes 8,520.0,0.129,56.0,288,27,9.38,3.74 (3.15-4.32),261,90.62,4.23 (4.02-4.44),8.17,4.32
oligodendrocyte progenitor cells 12,1049.0,0.028,2.0,235,3,1.28,4.93 (3.70-6.16),232,98.72,3.81 (3.57-4.04),8.33,7.61
oligodendrocytes 10,806.0,0.124,36.0,261,8,3.07,3.46 (2.30-4.63),253,96.93,4.40 (4.16-4.65),5.83,6.07
connective tissue cells 21,92.0,0.343,77.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28),NA,2.83
astrocytes 15,1768.0,0.073,36.0,105,26,24.76,2.58 (2.14-3.02),79,75.24,3.44 (3.03-3.86),6.43,3.17
oligodendrocytes 16,75.0,0.218,68.0,1,0,0.0,NA,1,100.0,NA,NA,1.70
da neurons 6,409.0,0.079,16.0,235,6,2.55,2.30 (1.05-3.55),229,97.45,4.04 (3.79-4.29),8.05,4.32
astrocytes microglia 23,140.0,0.323,66.0,1,0,0.0,NA,1,100.0,NA,NA,1.75
astrocytes 4,1807.0,0.169,90.0,104,19,18.27,2.29 (1.70-2.88),85,81.73,3.00 (2.69-3.32),11.05,4.13
oligodendrocytes 0,2078.0,0.094,13.0,238,5,2.1,2.64 (1.20-4.08),233,97.9,3.66 (3.44-3.88),10.75,4.90
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,743.0,0.086,57.0,76,2,2.63,4.81 (2.72-6.91),74,97.37,3.11 (2.71-3.51),4.72,7.36
oligodendrocytes 2,528.0,0.153,21.0,175,9,5.14,4.44 (3.33-5.55),166,94.86,4.37 (4.00-4.74),6.03,4.54
