tipo_celular,module_size,EFCAB7_MM,EFCAB7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%),p_value_known,p_value_new
microglia 19,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 5,1656.0,0.149,93.0,136,5,3.68,2.18 (0.98-3.37),131,96.32,3.25 (2.98-3.53),7.09,4.91
oligodendrocyte progenitor cells 7,4285.0,0.181,98.0,353,55,15.58,2.49 (2.18-2.80),298,84.42,4.21 (4.02-4.41),13.85,7.00
GABA neurons expressing GLU receptors 22,714.0,0.143,27.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00),1.76,3.81
GLU like neurons 17,380.0,0.115,12.0,39,5,12.82,2.98 (2.02-3.93),34,87.18,2.96 (2.34-3.59),3.13,2.49
da like neurons 11,200.0,0.205,58.0,8,0,0.0,NA,8,100.0,NA,NA,1.62
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 20,250.0,0.44,94.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62),NA,4.81
GABA like neurons 14,3052.0,0.151,60.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66),1.96,8.72
astrocytes 8,727.0,0.046,7.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86),NA,3.55
oligodendrocyte progenitor cells 12,3303.0,0.097,72.0,276,49,17.75,2.42 (2.11-2.73),227,82.25,3.85 (3.60-4.09),6.90,4.72
oligodendrocytes 10,735.0,0.049,12.0,277,6,2.17,6.97 (6.52-7.41),271,97.83,3.83 (3.59-4.07),2.51,9.09
connective tissue cells 21,111.0,0.348,87.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA),NA,3.65
astrocytes 15,1768.0,0.052,15.0,105,17,16.19,2.34 (1.63-3.05),88,83.81,3.40 (3.03-3.76),5.01,3.78
oligodendrocytes 16,104.0,0.323,99.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA),NA,1.45
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes microglia 23,61.0,0.301,37.0,0,0,0.0,NA,0,0.0,NA,NA,NA
astrocytes 4,1807.0,0.167,88.0,104,17,16.35,1.88 (1.32-2.43),87,83.65,3.07 (2.77-3.38),7.72,4.94
oligodendrocytes 0,2078.0,0.097,17.0,238,22,9.24,2.84 (2.36-3.32),216,90.76,3.72 (3.49-3.96),6.53,4.87
microglia 1,,,,0,0,0.0,NA,0,0.0,NA,NA,NA
oligodendrocytes 3,854.0,0.059,14.0,76,3,3.95,3.08 (0.26-5.90),73,96.05,2.77 (2.44-3.09),1.99,4.83
oligodendrocytes 2,1630.0,0.135,34.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52),1.45,3.61
